row_label_raw,row_label_full,col_0,Vốn điều lệTriệu đồng,Thặng dư vốncổ phầnTriệu đồng,Quỹ dự trữbố sungvốn điều lệTriệu đồng,Quỹ dựphòng tài chínhTriệu đồng,Quỹ đầu tưphát triểnTriệu đồng,Lợi nhuậnchưa phânphốiTriệu đồng,Cổ phiếu quỹTriệu đồng,Tổng cộngTriệu đồng,numeric__Vốn điều lệTriệu đồng,numeric__Thặng dư vốncổ phầnTriệu đồng,numeric__Quỹ dự trữbố sungvốn điều lệTriệu đồng,numeric__Quỹ dựphòng tài chínhTriệu đồng,numeric__Quỹ đầu tưphát triểnTriệu đồng,numeric__Lợi nhuậnchưa phânphốiTriệu đồng,numeric__Cổ phiếu quỹTriệu đồng,numeric__Tổng cộngTriệu đồng
Số dư đầu kỳ,Số dư đầu kỳ,Số dư đầu kỳ,25.299.680,1.289.001,703.949,2.465.423,2.296.507,5.187.230,(2.491.721),34.750.069,25299680.0,1289001.0,703949.0,2465423.0,2296507.0,5187230.0,-2491721.0,34750069.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,8.260.263,-,8.260.263,,,,,,8260263.0,,8260263.0
Chuyển từ quỹ đầu tư phát triển về lợi nhuận chưa phân phối đề tăng vốn,Chuyển từ quỹ đầu tư phát triển về lợi nhuận chưa phân phối đề tăng vốn,Chuyển từ quỹ đầu tư phát triển về lợi nhuận chưa phân phối đề tăng vốn,-,-,-,-,(2.800.184),2.800.184,-,-,,,,,-2800184.0,2800184.0,,
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,412.577,825.001,3.204.132,(4.441.710),-,-,,,412577.0,825001.0,3204132.0,-4441710.0,,
Mua lại cổ phiếu làm cổ phiếu quỹ (i),Mua lại cổ phiếu làm cổ phiếu quỹ (i),Mua lại cổ phiếu làm cổ phiếu quỹ (i),-,-,-,-,-,-,(1.109.703),(1.109.703),,,,,,,-1109703.0,-1109703.0
Phí mua lại cổ phiếu (i),Phí mua lại cổ phiếu (i),Phí mua lại cổ phiếu (i),-,-,-,-,-,-,(887),(887),,,,,,,-887.0,-887.0
Phát hành ESOP từ cổ phiếu quỹ (ii),Phát hành ESOP từ cổ phiếu quỹ (ii),Phát hành ESOP từ cổ phiếu quỹ (ii),-,(596.281),-,-,-,-,906.281,310.000,,-596281.0,,,,,906281.0,310000.0
Số dư cuối kỳ,Số dư cuối kỳ,Số dư cuối kỳ,25.299.680,692.720,1.116.526,3.290.424,2.700.455,11.805.967,(2.696.030),42.209.742,25299680.0,692720.0,1116526.0,3290424.0,2700455.0,11805967.0,-2696030.0,42209742.0
