row_label_raw,row_label_full,Hoạt độngngân hàngTriệu VND,Hoạt động quản lý nợvà khai thác tài sảnTriệu VND,Điều chinhnội bộTriệu VND,Tổng cộngTriệu VND,numeric__Hoạt động quản lý nợvà khai thác tài sảnTriệu VND,numeric__Điều chinhnội bộTriệu VND,numeric__Tổng cộngTriệu VND
49.874.784,49.874.784,49.874.784,1.693,(1.693),49.874.784,1693.0,-1693.0,49874784.0
49.874.784,49.874.784,49.874.784,-,-,49.874.784,,,49874784.0
-,-,-,1.693,(1.693),-,1693.0,-1693.0,
2.791.485,2.791.485,2.791.485,378.553,(378.418),2.791.620,378553.0,-378418.0,2791620.0
2.892.110,2.892.110,2.892.110,1.314,-,2.893.424,1314.0,,2893424.0
55.558.379,55.558.379,55.558.379,381.560,(380.111),55.559.828,381560.0,-380111.0,55559828.0
(19.206.016),(19.206.016),(19.206.016),-,1.693,(19.204.323),,1693.0,-19204323.0
(19.204.323),(19.204.323),(19.204.323),-,-,(19.204.323),,,-19204323.0
(1.693),(1.693),(1.693),-,1.693,-,,1693.0,
(373.366),(373.366),(373.366),(416),-,(373.782),-416.0,,-373782.0
(11.969.124),(11.969.124),(11.969.124),(379.230),378.418,(11.969.936),-379230.0,378418.0,-11969936.0
(31.548.506),(31.548.506),(31.548.506),(379.646),380.111,(31.548.041),-379646.0,380111.0,-31548041.0
24.009.873,24.009.873,24.009.873,1.914,-,24.011.787,1914.0,,24011787.0
(13.687.626),(13.687.626),(13.687.626),-,-,(13.687.626),,,-13687626.0
10.322.247,10.322.247,10.322.247,1.914,-,10.324.161,1914.0,,10324161.0
2.459.321,2.459.321,2.459.321,-,-,2.459.321,,,2459321.0
1.921.694,1.921.694,1.921.694,1.278,-,1.922.972,1278.0,,1922972.0
372.716.546,372.716.546,372.716.546,207.300,(102.013),372.821.833,207300.0,-102013.0,372821833.0
377.097.561,377.097.561,377.097.561,208.578,(102.013),377.204.126,208578.0,-102013.0,377204126.0
330.766.228,330.766.228,330.766.228,-,(80.144),330.686.084,,-80144.0,330686084.0
533.239,533.239,533.239,12.619,-,545.858,12619.0,,545858.0
3.750.527,3.750.527,3.750.527,33.784,(21.869),3.762.442,33784.0,-21869.0,3762442.0
335.049.994,335.049.994,335.049.994,46.403,(102.013),334.994.384,46403.0,-102013.0,334994384.0
