row_label_raw,row_label_full,Tài sản
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý"
Tiền gửi tài Ngân hàng Nhà nước Việt Nam,Tiền gửi tài Ngân hàng Nhà nước Việt Nam,Tiền gửi tài Ngân hàng Nhà nước Việt Nam
Tiền gửi và cấp tín dụng cho các TCTD khác - gộp,Tiền gửi và cấp tín dụng cho các TCTD khác - gộp,Tiền gửi và cấp tín dụng cho các TCTD khác - gộp
Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp
Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp
"Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp"
Tài sản cố định,Tài sản cố định,Tài sản cố định
Tài sản Có khác - gộp,Tài sản Có khác - gộp,Tài sản Có khác - gộp
Tổng tài sản,Tổng tài sản,Tổng tài sản
Nợ phải trả,Nợ phải trả,Nợ phải trả
Các khoản nợ Chính phủ và,Các khoản nợ Chính phủ và,Các khoản nợ Chính phủ và
Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam
"Tiền gửi và vay các TCTC, TCTD khác","Tiền gửi và vay các TCTC, TCTD khác","Tiền gửi và vay các TCTC, TCTD khác"
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác
"Vốn tài trợ, ủy thác đầu tư cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư cho vay tổ chức tín dụng chịu rủi ro"
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả
Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng
