row_label_raw,row_label_full,col_0,Chưa quá hạnTriệu đồng,Đã quá hạn nhưng chưa bị giảm giáTriệu đồng,Đã quá hạn và đã trích lập dự phòngTriệu đồng,Tổng cộngTriệu đồng,numeric__Chưa quá hạnTriệu đồng,numeric__Đã quá hạn nhưng chưa bị giảm giáTriệu đồng,numeric__Đã quá hạn và đã trích lập dự phòngTriệu đồng,numeric__Tổng cộngTriệu đồng
Tiền gửi và cấp tín dụng cho các TCTD khác,Tiền gửi và cấp tín dụng cho các TCTD khác,Tiền gửi và cấp tín dụng cho các TCTD khác,20.097.553,-,-,20.097.553,20097553.0,,,20097553.0
- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,15.482.986,-,-,15.482.986,15482986.0,,,15482986.0
- Cấp tín dụng cho các TCTD khác,- Cấp tín dụng cho các TCTD khác,- Cấp tín dụng cho các TCTD khác,4.614.567,-,-,4.614.567,4614567.0,,,4614567.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,1.571.141,-,-,1.571.141,1571141.0,,,1571141.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,236.147.780,4.930.805,16.105.374,257.183.959,236147780.0,4930805.0,16105374.0,257183959.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,68.881.236,-,-,68.881.236,68881236.0,,,68881236.0
- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,67.786.907,-,-,67.786.907,67786907.0,,,67786907.0
- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,1.094.329,-,-,1.094.329,1094329.0,,,1094329.0
Tài sân Có khác,Tài sân Có khác,Tài sân Có khác,25.688.251,634,49.655,25.738.540,25688251.0,634.0,49655.0,25738540.0
Tổng cộng,Tổng cộng,Tổng cộng,352.385.961,4.931.439,16.155.029,373.472.429,352385961.0,4931439.0,16155029.0,373472429.0
