row_label_raw,row_label_full,col_0,Giá trị ghi số > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh Triệu đồng,Giá trị ghi số > Giữ đến ngày đáo hạn Triệu đồng,Giá trị ghi số > Cho vay và phải thu Triệu đồng,Giá trị ghi số > Sẵn sàng để bán Triệu đồng,Giá trị ghi số > Tài sản và nợ khác hạch toán theo giá trị phân bổ Triệu đồng,Giá trị ghi số > Tổng cộng giá trị ghi số Triệu đồng,Giá trị ghi số > Giá trị hợp lý Triệu đồng,numeric__Giá trị ghi số > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh Triệu đồng,numeric__Giá trị ghi số > Giữ đến ngày đáo hạn Triệu đồng,numeric__Giá trị ghi số > Cho vay và phải thu Triệu đồng,numeric__Giá trị ghi số > Sẵn sàng để bán Triệu đồng,numeric__Giá trị ghi số > Tài sản và nợ khác hạch toán theo giá trị phân bổ Triệu đồng,numeric__Giá trị ghi số > Tổng cộng giá trị ghi số Triệu đồng,numeric__Giá trị ghi số > Giá trị hợp lý Triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,2.459.321,-,-,2.459.321,2.459.321,,,2459321.0,,,2459321.0,2459321.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,3.454.138,-,-,3.454.138,(*),,,3454138.0,,,3454138.0,
Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,-,-,20.097.553,-,-,20.097.553,(*),,,20097553.0,,,20097553.0,
Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,1.571.141,-,-,-,-,1.571.141,(*),1571141.0,,,,,1571141.0,
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,-,257.183.959,-,-,257.183.959,(*),,,257183959.0,,,257183959.0,
Chứng khoán đầu tư sẵn sàng để bán - gộp,Chứng khoán đầu tư sẵn sàng để bán - gộp,Chứng khoán đầu tư sẵn sàng để bán - gộp,-,-,-,67.786.907,-,67.786.907,(*),,,,67786907.0,,67786907.0,
Chứng khoán đầu tư giữ đến ngày đáo hạn - gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn - gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn - gộp,-,1.094.329,-,-,-,1.094.329,(*),,1094329.0,,,,1094329.0,
"Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,-,-,238.602,-,238.602,(*),,,,238602.0,,238602.0,
Tải sản tài chính khác,Tải sản tài chính khác,Tải sản tài chính khác,203.526,47.172,20.212.660,1.982.170,-,22.445.528,(*),203526.0,47172.0,20212660.0,1982170.0,,22445528.0,
,,,1.774.667,1.141.501,303.407.631,70.007.679,-,376.331.478,,1774667.0,1141501.0,303407631.0,70007679.0,,376331478.0,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,-,-,-,-,19.492,19.492,(*),,,,,19492.0,19492.0,
"Tiền gửi và vay các TCTC, TCTD khác","Tiền gửi và vay các TCTC, TCTD khác","Tiền gửi và vay các TCTC, TCTD khác",-,-,-,-,50.867.989,50.867.989,(*),,,,,50867989.0,50867989.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,213.949.568,213.949.568,(*),,,,,213949568.0,213949568.0,
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,45.670,-,-,-,-,45.670,(*),45670.0,,,,,45670.0,
"Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro",-,-,-,-,291.823,291.823,(*),,,,,291823.0,291823.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,57.599.723,57.599.723,(*),,,,,57599723.0,57599723.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,165.027,-,-,-,10.644.967,10.809.994,(*),165027.0,,,,10644967.0,10809994.0,
,,,210.697,-,-,-,333.373.562,333.584.259,,210697.0,,,,333373562.0,333584259.0,
