row_label_raw,row_label_full,col_0,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trả,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Giá trị thuần,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trả,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Giá trị thuần
,,,Triệu đồng,Triệu đồng,Triệu đồng,Triệu đồng,,,,
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2019 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,53.821.526,53.597.926,(53.646.984),(49.058),53821526.0,53597926.0,-53646984.0,-49058.0
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2019 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,8.653.712,8.650.955,(8.542.072),108.883,8653712.0,8650955.0,-8542072.0,108883.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2019 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,45.167.814,44.946.971,(45.104.912),(157.941),45167814.0,44946971.0,-45104912.0,-157941.0
Công cụ tài chính phải sinh khác,Tại ngày 31 tháng 12 năm 2019 > Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,5.442.266,2.851.038,(2.847.650),3.388,5442266.0,2851038.0,-2847650.0,3388.0
,,,59.263.792,56.448.964,(56.494.634),(45.670),59263792.0,56448964.0,-56494634.0,-45670.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2018 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,37.477.476,37.284.817,(37.361.354),(76.537),37477476.0,37284817.0,-37361354.0,-76537.0
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2018 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,7.030.491,7.006.722,(6.995.804),10.918,7030491.0,7006722.0,-6995804.0,10918.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2018 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,30.446.985,30.278.095,(30.365.550),(87.455),30446985.0,30278095.0,-30365550.0,-87455.0
Công cụ tài chính phải sinh khác,Tại ngày 31 tháng 12 năm 2018 > Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,6.350.452,4.442.399,(4.384.433),57.966,6350452.0,4442399.0,-4384433.0,57966.0
,,,43.827.928,41.727.216,(41.745.787),(18.571),43827928.0,41727216.0,-41745787.0,-18571.0
