row_label_raw,row_label_full,col_0,Thuyết minh,2019Triệu đồng,2018Triệu đồng,numeric__Thuyết minh,numeric__2019Triệu đồng,numeric__2018Triệu đồng
LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
Tăng vốn cổ phần tử góp vốn và/hoặc phát hành cổ phiếu,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tăng vốn cổ phần tử góp vốn và/hoặc phát hành cổ phiếu,Tăng vốn cổ phần tử góp vốn và/hoặc phát hành cổ phiếu,,-,336.951,,,336951.0
Tiền thu do bán cổ phiếu quỹ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu do bán cổ phiếu quỹ,Tiền thu do bán cổ phiếu quỹ,,310.000,-,,310000.0,
Tiền chi mua cổ phiếu quỹ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền chi mua cổ phiếu quỹ,Tiền chi mua cổ phiếu quỹ,,(1.110.590),(2.491.721),,-1110590.0,-2491721.0
Tiền chi cho thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền chi cho thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền chi cho thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,(2.615.000),(2.500.000),,-2615000.0,-2500000.0
"Cổ tức trả cho cổ đông, lợi nhuận đã chia","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Cổ tức trả cho cổ đông, lợi nhuận đã chia","Cổ tức trả cho cổ đông, lợi nhuận đã chia",,-,(146.439),,,-146439.0
Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,,(3.415.590),(4.801.209),,-3415590.0,-4801209.0
Lưu chuyển tiền thuần trong năm,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,,(6.625.227),3.767.873,,-6625227.0,3767873.0
Tiền và các khoản tương đương tiền đầu năm,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,,28.021.672,24.253.799,,28021672.0,24253799.0
Tiền và các khoản tương đương tiền cuối năm,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm,Tiền và các khoản tương đương tiền cuối năm,35,21.396.445,28.021.672,35.0,21396445.0,28021672.0
CÁC GIAO DỊCH PHI TIÊN TỆ TRỘNG YẾU TRONG NĂM,CÁC GIAO DỊCH PHI TIÊN TỆ TRỘNG YẾU TRONG NĂM,CÁC GIAO DỊCH PHI TIÊN TỆ TRỘNG YẾU TRONG NĂM,CÁC GIAO DỊCH PHI TIÊN TỆ TRỘNG YẾU TRONG NĂM,CÁC GIAO DỊCH PHI TIÊN TỆ TRỘNG YẾU TRONG NĂM,CÁC GIAO DỊCH PHI TIÊN TỆ TRỘNG YẾU TRONG NĂM,,,
Phát hành cổ phiếu thường từ Quỹ dự trữ bổ sung vốn điều lệ và Quỹ đầu tư phát triển và Thắng dư vốn cổ phần,CÁC GIAO DỊCH PHI TIÊN TỆ TRỘNG YẾU TRONG NĂM > Phát hành cổ phiếu thường từ Quỹ dự trữ bổ sung vốn điều lệ và Quỹ đầu tư phát triển và Thắng dư vốn cổ phần,Phát hành cổ phiếu thường từ Quỹ dự trữ bổ sung vốn điều lệ và Quỹ đầu tư phát triển và Thắng dư vốn cổ phần,,-,4.731.795,,,4731795.0
Tăng vốn tử lợi nhuận để lại,CÁC GIAO DỊCH PHI TIÊN TỆ TRỘNG YẾU TRONG NĂM > Tăng vốn tử lợi nhuận để lại,Tăng vốn tử lợi nhuận để lại,,-,4.524.704,,,4524704.0
Giảm thăng dư vốn cổ phần do phát hành cổ phiếu quỹ theo ESOP,CÁC GIAO DỊCH PHI TIÊN TỆ TRỘNG YẾU TRONG NĂM > Giảm thăng dư vốn cổ phần do phát hành cổ phiếu quỹ theo ESOP,Giảm thăng dư vốn cổ phần do phát hành cổ phiếu quỹ theo ESOP,,(596.281),-,,-596281.0,
