row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12năm 2019Triệu đồng,Ngày 31 tháng 12năm 2018Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12năm 2019Triệu đồng,numeric__Ngày 31 tháng 12năm 2018Triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,16,19.492,3.781.343,16.0,19492.0,3781343.0
"Tiền gửi và vay các tổ chức tài chính, tổ chức tín dụng khác","NỘ PHẢI TRẢ > Tiền gửi và vay các tổ chức tài chính, tổ chức tín dụng khác","Tiền gửi và vay các tổ chức tài chính, tổ chức tín dụng khác",,50.867.989,54.231.451,,50867989.0,54231451.0
Tiền gửi của các tổ chức tín dụng khác,NỘ PHẢI TRẢ > Tiền gửi của các tổ chức tín dụng khác,Tiền gửi của các tổ chức tín dụng khác,17.1,12.144.371,21.145.194,171.0,12144371.0,21145194.0
"Vay các tổ chức tài chính (""TCTC""), tổ chức tín dụng (""TCTD"") khác","NỘ PHẢI TRẢ > Vay các tổ chức tài chính (""TCTC""), tổ chức tín dụng (""TCTD"") khác","Vay các tổ chức tài chính (""TCTC""), tổ chức tín dụng (""TCTD"") khác",17.2,38.723.618,33.086.257,172.0,38723618.0,33086257.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,18,213.949.568,170.850.871,18.0,213949568.0,170850871.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,9,45.670,18.571,9.0,45670.0,18571.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",19,291.823,329.649,19.0,291823.0,329649.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,20,57.599.723,48.658.036,20.0,57599723.0,48658036.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,12.220.119,10.671.129,,12220119.0,10671129.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",21.1,7.911.819,5.262.931,211.0,7911819.0,5262931.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,21.2,4.308.300,5.408.198,212.0,4308300.0,5408198.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,334.994.384,288.541.050,,334994384.0,288541050.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn điều lệ,VỐN CHỦ SỞ HỮU > Vốn điều lệ,Vốn điều lệ,,25.299.680,25.299.680,,25299680.0,25299680.0
Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,,692.720,1.289.001,,692720.0,1289001.0
Các quỹ của tổ chức tín dụng,VỐN CHỦ SỞ HỮU > Các quỹ của tổ chức tín dụng,Các quỹ của tổ chức tín dụng,,7.107.405,5.465.879,,7107405.0,5465879.0
Cổ phiếu quỹ,VỐN CHỦ SỞ HỮU > Cổ phiếu quỹ,Cổ phiếu quỹ,,(2.696.030),(2.491.721),,-2696030.0,-2491721.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,11.805.967,5.187.230,,11805967.0,5187230.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,23,42.209.742,34.750.069,23.0,42209742.0,34750069.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,377.204.126,323.291.119,,377204126.0,323291119.0
