row_label_raw,row_label_full,col_0,Lợi nhuận trước thuếTriệu đồng,numeric__Lợi nhuận trước thuếTriệu đồng
Tăng lợi nhuận do tăng thu nhập lãi thuần,Tăng lợi nhuận do tăng thu nhập lãi thuần,Tăng lợi nhuận do tăng thu nhập lãi thuần,5.968.886,5968886.0
Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động dịch vụ,Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động dịch vụ,Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động dịch vụ,1.179.124,1179124.0
Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động kinh doanh ngoại hồi,Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động kinh doanh ngoại hồi,Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động kinh doanh ngoại hồi,(113.129),-113129.0
Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động mua bán chứng khoán kinh doanh,Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động mua bán chứng khoán kinh doanh,Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động mua bán chứng khoán kinh doanh,341.666,341666.0
Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động mua bán chứng khoán đầu tư,Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động mua bán chứng khoán đầu tư,Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động mua bán chứng khoán đầu tư,553.102,553102.0
Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động khác,Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động khác,Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động khác,(2.661.596),-2661596.0
Tăng lợi nhuận do tăng thu nhập từ góp vốn mua cổ phần,Tăng lợi nhuận do tăng thu nhập từ góp vốn mua cổ phần,Tăng lợi nhuận do tăng thu nhập từ góp vốn mua cổ phần,1.789,1789.0
Giảm lợi nhuận do tăng chi phí hoạt động,Giảm lợi nhuận do tăng chi phí hoạt động,Giảm lợi nhuận do tăng chi phí hoạt động,(1.709.794),-1709794.0
Giảm lợi nhuận do tăng chi phí dự phòng rủi ro tín dụng,Giảm lợi nhuận do tăng chi phí dự phòng rủi ro tín dụng,Giảm lợi nhuận do tăng chi phí dự phòng rủi ro tín dụng,(2.434.395),-2434395.0
,,,1.125.653,1125653.0
