row_label_raw,row_label_full,col_0,Thời điểm phát hành,Kỳ hạn gốc,Kỳ hạn còn lại,Số lượng,Mệnh giá,Lãi suất danh nghĩa,Tỷ lệ chuyển đổi,Lãi suất chiết khấu,Giá trị > Nợ gốc tại thời điểm phát hành,Giá trị > Tổng chi phí phát hành,Giá trị > Phân bổ chi phí phát hành và lãi trái phiếu chuyển đổi,Giá trị > Giá trị phần nợ gốc cuối kỳ,Giá trị > Phần quyền chọn,numeric__Thời điểm phát hành,numeric__Kỳ hạn gốc,numeric__Kỳ hạn còn lại,numeric__Số lượng,numeric__Mệnh giá,numeric__Lãi suất danh nghĩa,numeric__Tỷ lệ chuyển đổi,numeric__Lãi suất chiết khấu,numeric__Giá trị > Nợ gốc tại thời điểm phát hành,numeric__Giá trị > Tổng chi phí phát hành,numeric__Giá trị > Phân bổ chi phí phát hành và lãi trái phiếu chuyển đổi,numeric__Giá trị > Giá trị phần nợ gốc cuối kỳ,numeric__Giá trị > Phần quyền chọn
Đầu kỳ,Đầu kỳ,Đầu kỳ,,,,,,,,,,,,-,-,,,,,,,,,,,,,
Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,,,,,,,,,,,,-,-,,,,,,,,,,,,,
Phát hành thêm trong kỳ,Trái phiếu chuyển đổi > Phát hành thêm trong kỳ,Phát hành thêm trong kỳ,,,,,,,,,,,,438.110.772.258,94.188.783.378,,,,,,,,,,,,438110772258.0,94188783378.0
Trái phiếu chuyển đổi,Trái phiếu chuyển đổi > Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,10/04/2015,24 tháng,,5.000.000,100.000,"0% 1 : 8,333",11%,405.811.216.622,100.000.000,32.399.555.636,438.110.772.258,94.188.783.378,,,,,5000000.0,100000.0,,0.11,405811216622.0,100000000.0,32399555636.0,438110772258.0,94188783378.0,
Chuyển thành cổ phiếu trong kỳ,Chuyển thành cổ phiếu trong kỳ,Chuyển thành cổ phiếu trong kỳ,,,,,,,,,,,,,,,,,,,,,,,,,,
Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,,,,-,-,,,,,,,,,,,,,,,,,,,,,
"Đã đáo hạn, không chuyển thành cổ phiếu trong kỳ","Đã đáo hạn, không chuyển thành cổ phiếu trong kỳ","Đã đáo hạn, không chuyển thành cổ phiếu trong kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,
Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,,,,-,-,,,,,,,,,,,,,,,,,,,,,
Cuối kỳ,Trái phiếu chuyển đổi > Cuối kỳ,Cuối kỳ,,,,,,,,,,,,438.110.772.258,94.188.783.378,,,,,,,,,,,,438110772258.0,94188783378.0
Trái phiếu chuyển đổi,Trái phiếu chuyển đổi > Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,10/04/2015,24 tháng,15 tháng,5.000.000,100.000,"0% 1 : 8,333",11%,405.811.216.622,100.000.000,32.399.555.636,438.110.772.258,94.188.783.378,,,,,5000000.0,100000.0,,0.11,405811216622.0,100000000.0,32399555636.0,438110772258.0,94188783378.0,
