row_label_raw,row_label_full,Stt,Tên Công ty,Vốn điều lệ của các Công ty nhận đầu tư VND,Trong đó: Công ty cam kết góp: > Tỷ lệ %,Trong đó: Công ty cam kết góp: > Vốn cam kết góp VND,Vốn góp thực tế của Công ty đến ngày 31/12/2015 VND,Vốn góp thiếu VND,numeric__Tên Công ty,numeric__Vốn điều lệ của các Công ty nhận đầu tư VND,numeric__Trong đó: Công ty cam kết góp: > Tỷ lệ %,numeric__Trong đó: Công ty cam kết góp: > Vốn cam kết góp VND,numeric__Vốn góp thực tế của Công ty đến ngày 31/12/2015 VND,numeric__Vốn góp thiếu VND
I.,I.,I.,Các Công ty con,1.078.320.260.000,,1.205.887.292.500,750.097.892.500,455.789.400.000,,1078320260000.0,,1205887292500.0,750097892500.0,455789400000.0
1.,1.,1.,Công ty CP ĐT PT Dịch vụ CTCC ĐLGL,31.420.260.000,"54,67%",17.177.680.000,17.177.680.000,-,,31420260000.0,0.5467,17177680000.0,17177680000.0,
2.,2.,2.,Công ty CP ĐT & Xây dựng ĐLGL,2.000.000.000,"51,00%",1.020.000.000,1.020.000.000,-,,2000000000.0,0.51,1020000000.0,1020000000.0,
3.,3.,3.,Công ty CP Trồng rừng và CCN ĐLGL,47.000.000.000,"96,81%",45.500.000.000,45.500.000.000,-,,47000000000.0,0.9681000000000001,45500000000.0,45500000000.0,
4.,4.,4.,Công ty CP Dịch vụ Bảo vệ Đức Long GL,3.400.000.000,"48,00%",1.632.000.000,1.632.000.000,-,,3400000000.0,0.48,1632000000.0,1632000000.0,
5.,5.,5.,Công ty CP BOT và BT Đức Long Đắk Nông,224.000.000.000,"67,19%",150.500.000.000,156.600.000.000,(6.100.000.000),,224000000000.0,0.6718999999999999,150500000000.0,156600000000.0,-6100000000.0
6.,6.,6.,Công ty CP BOT và BT Đức Long Gia Lai,270.000.000.000,"60,00%",162.000.000.000,131.094.060.000,30.905.940.000,,270000000000.0,0.6,162000000000.0,131094060000.0,30905940000.0
7.,7.,7.,Công ty CP Xây dựng Giao thông ĐLGL,50.000.000.000,"51,00%",25.500.000.000,6.500.000,25.493.500.000,,50000000000.0,0.51,25500000000.0,6500000.0,25493500000.0
8.,8.,8.,Công ty CP Đức Long Đà Nẵng,25.000.000.000,"85,00%",21.250.000.000,-,21.250.000.000,,25000000000.0,0.85,21250000000.0,,21250000000.0
9.,9.,9.,Công ty CP Giáo dục thể thao và DL ĐLGL,65.000.000.000,"55,00%",35.750.000.000,-,35.750.000.000,,65000000000.0,0.55,35750000000.0,,35750000000.0
10.,10.,10.,Công ty TNHH Nông nghiệp Đức Long GL,360.500.000.000,"99,86%",360.000.000.000,147.910.040.000,212.089.960.000,,360500000000.0,0.9986,360000000000.0,147910040000.0,212089960000.0
11.,11.,11.,Công ty CP Năng lượng Tân Thương,155.000.000.000,"88,00%",136.400.000.000,-,136.400.000.000,,155000000000.0,0.88,136400000000.0,,136400000000.0
12.,12.,12.,Công ty Mass Noble,325.501.414.973,"97,73%",249.157.612.500,249.157.612.500,-,,325501414973.0,0.9773000000000001,249157612500.0,249157612500.0,
II.,II.,II.,Các Công ty liên kết,77.961.000.000,,26.592.200.000,20.592.200.000,6.000.000.000,,77961000000.0,,26592200000.0,20592200000.0,6000000000.0
1.,1.,1.,Công ty TNHH Cung ứng VT NL Tây Nguyên,60.000.000.000,"33,33%",20.000.000.000,20.000.000.000,-,,60000000000.0,0.3333,20000000000.0,20000000000.0,
2.,2.,2.,Công ty CP Tư vấn và Xây dựng GT Gia Lai,2.961.000.000,"20,00%",592.200.000,592.200.000,-,,2961000000.0,0.2,592200000.0,592200000.0,
3.,3.,3.,Công ty CP Đức Long Tây Nguyên,15.000.000.000,"40,00%",6.000.000.000,-,6.000.000.000,,15000000000.0,0.4,6000000000.0,,6000000000.0
III.,III.,III.,Các Công ty đầu tư dài hạn,265.500.000.000,,15.983.500.000,15.751.500.000,232.000.000,,265500000000.0,,15983500000.0,15751500000.0,232000000.0
1.,1.,1.,Công ty TNHH KT Khoáng sản Đức Sang GL,22.000.000.000,"5,45%",1.200.000.000,1.200.000.000,-,,22000000000.0,0.0545,1200000000.0,1200000000.0,
2.,2.,2.,Công ty CP Đầu tư Xây dựng Nam Nguyên,30.000.000.000,"4,00%",1.200.000.000,968.000.000,232.000.000,,30000000000.0,0.04,1200000000.0,968000000.0,232000000.0
3.,3.,3.,Công ty CP ĐT & PT Điện năng ĐLGL,71.500.000.000,"4,90%",3.503.500.000,3.503.500.000,-,,71500000000.0,0.049,3503500000.0,3503500000.0,
4.,4.,4.,Công ty CP Dịch vụ Bảo vệ Tây Bình Tây Sơn,30.000.000.000,"18,67%",5.600.000.000,5.600.000.000,-,,30000000000.0,0.1867,5600000000.0,5600000000.0,
5.,5.,5.,Công ty CP ĐT và KD Bất động sản ĐLGL,100.000.000.000,"4,00%",4.000.000.000,4.000.000.000,-,,100000000000.0,0.04,4000000000.0,4000000000.0,
6.,6.,6.,Công ty CP DVCC Đức Long Bảo Lộc,12.000.000.000,"4,00%",480.000.000,480.000.000,-,,12000000000.0,0.04,480000000.0,480000000.0,
Cộng,Cộng,Cộng,Cộng,1.421.781.260.000,,1.248.462.992.500,786.441.592.500,462.021.400.000,,1421781260000.0,,1248462992500.0,786441592500.0,462021400000.0
