row_label_raw,row_label_full,col_0,Số đầu kỳ,Tăng trong kỳ,Giảm trong kỳ,Số cuối kỳ,numeric__Số đầu kỳ,numeric__Tăng trong kỳ,numeric__Giảm trong kỳ,numeric__Số cuối kỳ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,88.091.819.097,670.320.028.033,660.188.035.245,98.223.811.885,88091819097.0,670320028033.0,660188035245.0,98223811885.0
- Ngân hàng TMCP Công thương,- Ngân hàng TMCP Công thương,- Ngân hàng TMCP Công thương,35.260.000.000,80.976.000.000,83.273.000.000,32.963.000.000,35260000000.0,80976000000.0,83273000000.0,32963000000.0
Việt Nam - CN Gia Lai,Việt Nam - CN Gia Lai,Việt Nam - CN Gia Lai,,,,,,,,
- Ngân hàng TMCP ĐT&PT Việt,Việt Nam - CN Gia Lai > - Ngân hàng TMCP ĐT&PT Việt,- Ngân hàng TMCP ĐT&PT Việt,36.996.819.097,522.903.426.115,546.820.029.819,13.080.215.393,36996819097.0,522903426115.0,546820029819.0,13080215393.0
Nam - CN Gia Lai,Nam - CN Gia Lai,Nam - CN Gia Lai,,,,,,,,
- Ngân hàng TMCP Ngoại thương,Nam - CN Gia Lai > - Ngân hàng TMCP Ngoại thương,- Ngân hàng TMCP Ngoại thương,11.335.000.000,48.735.000.000,21.570.000.000,38.500.000.000,11335000000.0,48735000000.0,21570000000.0,38500000000.0
Việt Nam - CN Gia Lai,Việt Nam - CN Gia Lai,Việt Nam - CN Gia Lai,,,,,,,,
- Ngân hàng Eximbank - CN Tân Sơn,Việt Nam - CN Gia Lai > - Ngân hàng Eximbank - CN Tân Sơn,- Ngân hàng Eximbank - CN Tân Sơn,4.500.000.000,8.000.000.000,8.500.000.000,4.000.000.000,4500000000.0,8000000000.0,8500000000.0,4000000000.0
Nhất,Nhất,Nhất,,,,,,,,
Công ty CP BOT và BT Đức Long,Nhất > Công ty CP BOT và BT Đức Long,Công ty CP BOT và BT Đức Long,-,9.705.601.918,25.005.426,9.680.596.492,,9705601918.0,25005426.0,9680596492.0
Gia Lai,Gia Lai,Gia Lai,,,,,,,,
Các khoản mượn bằng tiền,Gia Lai > Các khoản mượn bằng tiền,Các khoản mượn bằng tiền,141.207.471.869,112.359.600.072,226.691.015.817,26.876.056.124,141207471869.0,112359600072.0,226691015817.0,26876056124.0
- Công ty CP Đầu tư Xây dựng Đức,Gia Lai > - Công ty CP Đầu tư Xây dựng Đức,- Công ty CP Đầu tư Xây dựng Đức,65.111.443.256,18.272.316.876,65.948.414.000,17.435.346.132,65111443256.0,18272316876.0,65948414000.0,17435346132.0
Long Gia Lai,Long Gia Lai,Long Gia Lai,,,,,,,,
- Công ty CP Xây dựng Giao thông,Long Gia Lai > - Công ty CP Xây dựng Giao thông,- Công ty CP Xây dựng Giao thông,1.176.248.255,-,1.176.248.255,-,1176248255.0,,1176248255.0,
Minh Long Gia Lai,Minh Long Gia Lai,Minh Long Gia Lai,,,,,,,,
- Công ty TNHH Đầu tư Xây dựng,Minh Long Gia Lai > - Công ty TNHH Đầu tư Xây dựng,- Công ty TNHH Đầu tư Xây dựng,72.192.322.065,10.000.000,72.202.322.065,-,72192322065.0,10000000.0,72202322065.0,
Cầu đường Phước Hoàng Long,Cầu đường Phước Hoàng Long,Cầu đường Phước Hoàng Long,,,,,,,,
