row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*),"Nhà cửa, vật kiến trúc",Cộng,numeric__Quyền sử dụng đất (*),"numeric__Nhà cửa, vật kiến trúc",numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,66.720.417.973,57.490.038.178,124.210.456.151,66720417973.0,57490038178.0,124210456151.0
Chuyển thành BĐS đầu tư,Nguyên giá > Chuyển thành BĐS đầu tư,Chuyển thành BĐS đầu tư,9.063.000.000,88.683.088.180,97.746.088.180,9063000000.0,88683088180.0,97746088180.0
Đ/tư XDCB h/thành,Nguyên giá > Đ/tư XDCB h/thành,Đ/tư XDCB h/thành,-,527.792.600,527.792.600,,527792600.0,527792600.0
Giảm trong kỳ,Giảm trong kỳ,Giảm trong kỳ,-,-,-,,,
Số cuối kỳ,Giảm trong kỳ > Số cuối kỳ,Số cuối kỳ,75.783.417.973,146.700.918.958,222.484.336.931,75783417973.0,146700918958.0,222484336931.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Số đầu kỳ,Khấu hao lũy kế > Số đầu kỳ,Số đầu kỳ,-,11.346.736.286,11.346.736.286,,11346736286.0,11346736286.0
Chuyển thành BĐS đầu tư,Khấu hao lũy kế > Chuyển thành BĐS đầu tư,Chuyển thành BĐS đầu tư,-,1.595.322.698,1.595.322.698,,1595322698.0,1595322698.0
Khấu hao trong kỳ,Khấu hao lũy kế > Khấu hao trong kỳ,Khấu hao trong kỳ,-,5.569.411.379,5.569.411.379,,5569411379.0,5569411379.0
Giảm trong kỳ,Giảm trong kỳ,Giảm trong kỳ,-,-,-,,,
Số cuối kỳ,Giảm trong kỳ > Số cuối kỳ,Số cuối kỳ,-,18.511.470.363,18.511.470.363,,18511470363.0,18511470363.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,66.720.417.973,46.143.301.892,112.863.719.865,66720417973.0,46143301892.0,112863719865.0
Số đánh giá lại cuối kỳ,Giá trị còn lại > Số đánh giá lại cuối kỳ,Số đánh giá lại cuối kỳ,75.783.417.973,128.189.448.595,203.972.866.568,75783417973.0,128189448595.0,203972866568.0
