row_label_raw,row_label_full,col_0,31/12/2015 > Giá gốc trái phiếu,31/12/2015 > Tổng chi phí phát hành,31/12/2015 > Chi phí phát hành phân bổ trong kỳ,31/12/2015 > Giá trị trái phiếu cuối kỳ,31/12/2015 > Lãi suất,numeric__31/12/2015 > Giá gốc trái phiếu,numeric__31/12/2015 > Tổng chi phí phát hành,numeric__31/12/2015 > Chi phí phát hành phân bổ trong kỳ,numeric__31/12/2015 > Giá trị trái phiếu cuối kỳ,numeric__31/12/2015 > Lãi suất
Loại phát hành theo mênh giá,Loại phát hành theo mênh giá,Loại phát hành theo mênh giá,Loại phát hành theo mênh giá,Loại phát hành theo mênh giá,Loại phát hành theo mênh giá,Loại phát hành theo mênh giá,Loại phát hành theo mênh giá,,,,,
- Trái phiếu kỳ hạn 5 năm,Loại phát hành theo mênh giá > - Trái phiếu kỳ hạn 5 năm,- Trái phiếu kỳ hạn 5 năm,366.000.000.000,6.491.086.494,1.298.217.299,360.807.130.805,11% kỳ đầu và thả nổi từ kỳ thứ 2,366000000000.0,6491086494.0,1298217299.0,360807130805.0,
- Trái phiếu kỳ hạn 3 năm,Loại phát hành theo mênh giá > - Trái phiếu kỳ hạn 3 năm,- Trái phiếu kỳ hạn 3 năm,134.000.000.000,2.376.518.006,792.172.669,132.415.654.663,11% kỳ đầu và thả nổi từ kỳ thứ 2,134000000000.0,2376518006.0,792172669.0,132415654663.0,
- Trái phiếu phải trả do không chuyển đổi,Loại phát hành theo mênh giá > - Trái phiếu phải trả do không chuyển đổi,- Trái phiếu phải trả do không chuyển đổi,379.600.000,-,-,379.600.000,13%/năm,379600000.0,,,379600000.0,
Cộng,Loại phát hành theo mênh giá > Cộng,Cộng,500.379.600.000,8.867.604.500,2.090.389.968,493.602.385.468,,500379600000.0,8867604500.0,2090389968.0,493602385468.0,
