row_label_raw,row_label_full,31/12/2015,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,272.818.519.839,-,272.818.519.839,272818519839.0,,272818519839.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,8.576.081.430,-,8.576.081.430,8576081430.0,,8576081430.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,172.576.369.823,1.003.084.892.557,1.175.661.262.380,172576369823.0,1003084892557.0,1175661262380.0
Phải trả khác,Phải trả khác,Phải trả khác,49.838.912.764,74.595.230.845,124.434.143.609,49838912764.0,74595230845.0,124434143609.0
Cộng,Cộng,Cộng,503.809.883.856,1.077.680.123.402,1.581.490.007.258,503809883856.0,1077680123402.0,1581490007258.0
01/01/2015,01/01/2015,01/01/2015,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2015 > Phải trả người bán,Phải trả người bán,139.872.686.386,-,139.872.686.386,139872686386.0,,139872686386.0
Chi phí phải trả,01/01/2015 > Chi phí phải trả,Chi phí phải trả,17.382.008.317,-,17.382.008.317,17382008317.0,,17382008317.0
Vay và nợ thuê tài chính,01/01/2015 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,267.659.790.966,845.374.224.606,1.113.034.015.572,267659790966.0,845374224606.0,1113034015572.0
Phải trả khác,01/01/2015 > Phải trả khác,Phải trả khác,120.243.901.265,-,120.243.901.265,120243901265.0,,120243901265.0
Cộng,01/01/2015 > Cộng,Cộng,545.158.386.934,845.374.224.606,1.390.532.611.540,545158386934.0,845374224606.0,1390532611540.0
