row_label_raw,row_label_full,Bảng cân đối kế toán,Số liệu tại ngày 01/01/2015 > Mã số,Số liệu tại ngày 01/01/2015 > Số tiền,Số liệu tại ngày 31/12/2014 > Mã số,Số liệu tại ngày 31/12/2014 > Số tiền,Chênh lệch,Ghi chú,numeric__Số liệu tại ngày 01/01/2015 > Mã số,numeric__Số liệu tại ngày 01/01/2015 > Số tiền,numeric__Số liệu tại ngày 31/12/2014 > Mã số,numeric__Số liệu tại ngày 31/12/2014 > Số tiền,numeric__Chênh lệch,numeric__Ghi chú
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,,-,121,793.603.701.554,(793.603.701.554),(1),,,121.0,793603701554.0,-793603701554.0,-1.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,123,340.000.000.000,,-,340.000.000.000,(1),123.0,340000000000.0,,,340000000000.0,-1.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,512.650.173.166,,-,512.650.173.166,"(1), (2)",135.0,512650173166.0,,,512650173166.0,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,110.597.258.088,135,154.210.115.548,(43.612.857.460),(2),136.0,110597258088.0,135.0,154210115548.0,-43612857460.0,-2.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,,-,158,15.433.614.152,(15.433.614.152),(2),,,158.0,15433614152.0,-15433614152.0,-2.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,219.267.747.218,,-,219.267.747.218,(3),215.0,219267747218.0,,,219267747218.0,-3.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,62.017.800.000,,-,62.017.800.000,(3),253.0,62017800000.0,,,62017800000.0,-3.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,255,4.400.000.000,,-,4.400.000.000,(3),255.0,4400000000.0,,,4400000000.0,-3.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,,-,258,285.685.547.218,(285.685.547.218),(3),,,258.0,285685547218.0,-285685547218.0,-3.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,2.648.099.682,261,7.635.599.682,(4.987.500.000),(4),261.0,2648099682.0,261.0,7635599682.0,-4987500000.0,-4.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,61.363.634,,-,61.363.634,(5),318.0,61363634.0,,,61363634.0,-5.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,120.666.763.279,319,261.874.235.148,(141.207.471.869),(6),319.0,120666763279.0,319.0,261874235148.0,-141207471869.0,-6.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,267.659.790.966,311,126.452.319.097,141.207.471.869,(6),320.0,267659790966.0,311.0,126452319097.0,141207471869.0,-6.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,845.374.224.606,334,850.361.724.606,(4.987.500.000),(4),338.0,845374224606.0,334.0,850361724606.0,-4987500000.0,-4.0
Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,,-,338,61.363.634,(61.363.634),(5),,,338.0,61363634.0,-61363634.0,-5.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,6.196.436.959,417,2.416.965.135,3.779.471.824,(7),418.0,6196436959.0,417.0,2416965135.0,3779471824.0,-7.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,,-,418,3.779.471.824,(3.779.471.824),(7),,,418.0,3779471824.0,-3779471824.0,-7.0
