row_label_raw,row_label_full,CHỈ TIỀU,Mã số,Thuyết minh,Năm 2015 VND,Năm 2014 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2015 VND,numeric__Năm 2014 VND
1. Doanh thu bán hàng & cung cấp dịch vụ,1. Doanh thu bán hàng & cung cấp dịch vụ,1. Doanh thu bán hàng & cung cấp dịch vụ,01,29,1.182.706.679.213,1.003.381.659.351,1.0,29.0,1182706679213.0,1003381659351.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
3. Doanh thu thuần về bán hàng & cc dịch vụ,3. Doanh thu thuần về bán hàng & cc dịch vụ,3. Doanh thu thuần về bán hàng & cc dịch vụ,10,,1.182.706.679.213,1.003.381.659.351,10.0,,1182706679213.0,1003381659351.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,30,1.083.180.901.357,939.243.778.560,11.0,30.0,1083180901357.0,939243778560.0
5. Lợi nhuận gộp về bán hàng & cc dịch vụ,5. Lợi nhuận gộp về bán hàng & cc dịch vụ,5. Lợi nhuận gộp về bán hàng & cc dịch vụ,20,,99.525.777.856,64.137.880.791,20.0,,99525777856.0,64137880791.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,31,123.279.099.187,103.375.456.255,21.0,31.0,123279099187.0,103375456255.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,32,137.090.927.374,88.098.447.205,22.0,32.0,137090927374.0,88098447205.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,131.508.795.990,99.293.214.862,23.0,,131508795990.0,99293214862.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,33a,477.959.046,949.178.343,25.0,,477959046.0,949178343.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,33b,25.494.882.783,23.115.479.156,26.0,,25494882783.0,23115479156.0
10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,30,,59.741.107.840,55.350.232.342,30.0,,59741107840.0,55350232342.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,34,224.562.330,6.891.888.950,31.0,34.0,224562330.0,6891888950.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,35,2.223.999.152,839.359.356,32.0,35.0,2223999152.0,839359356.0
13. Lợi nhuận khác,13. Lợi nhuận khác,13. Lợi nhuận khác,40,,(1.999.436.822),6.052.529.594,40.0,,-1999436822.0,6052529594.0
14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,50,,57.741.671.018,61.402.761.936,50.0,,57741671018.0,61402761936.0
15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,51,36,9.402.206.912,3.791.101.961,51.0,36.0,9402206912.0,3791101961.0
16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,52,,(116.625.447),(64.162.766),52.0,,-116625447.0,-64162766.0
17. Lợi nhuận sau thuế TNDN,17. Lợi nhuận sau thuế TNDN,17. Lợi nhuận sau thuế TNDN,60,,48.456.089.553,57.675.822.741,60.0,,48456089553.0,57675822741.0
