row_label_raw,row_label_full,31/12/2015,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,65.261.876.195,-,65.261.876.195,65261876195.0,,65261876195.0
Đầu tư tài chính,Đầu tư tài chính,Đầu tư tài chính,264.000.000.000,-,264.000.000.000,264000000000.0,,264000000000.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,573.264.666.667,1.400.000.000,574.664.666.667,573264666667.0,1400000000.0,574664666667.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,258.844.757.349,-,258.844.757.349,258844757349.0,,258844757349.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,666.361.371.305,157.343.713.318,823.705.084.623,666361371305.0,157343713318.0,823705084623.0
Phải thu khác,Phải thu khác,Phải thu khác,89.732.762.896,28.164.989.405,117.897.752.301,89732762896.0,28164989405.0,117897752301.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,13.486.261.636,13.486.261.636,,13486261636.0,13486261636.0
Cộng,Cộng,Cộng,1.917.465.434.412,200.394.964.359,2.117.860.398.771,1917465434412.0,200394964359.0,2117860398771.0
01/01/2015,01/01/2015,01/01/2015,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,77.808.876.422,-,77.808.876.422,77808876422.0,,77808876422.0
Đầu tư nắm giữ đến ngày đáo hạn,01/01/2015 > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,340.000.000.000,4.400.000.000,344.400.000.000,340000000000.0,4400000000.0,344400000000.0
Phải thu khách hàng,01/01/2015 > Phải thu khách hàng,Phải thu khách hàng,204.294.597.961,-,204.294.597.961,204294597961.0,,204294597961.0
Phải thu về cho vay,01/01/2015 > Phải thu về cho vay,Phải thu về cho vay,512.591.655.758,219.267.747.218,731.859.402.976,512591655758.0,219267747218.0,731859402976.0
Phải thu khác,01/01/2015 > Phải thu khác,Phải thu khác,95.135.126.528,-,95.135.126.528,95135126528.0,,95135126528.0
Đầu tư góp vốn vào đơn vị khác,01/01/2015 > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,56.949.102.692,56.949.102.692,,56949102692.0,56949102692.0
Cộng,01/01/2015 > Cộng,Cộng,1.229.830.256.669,280.616.849.910,1.510.447.106.579,1229830256669.0,280616849910.0,1510447106579.0
