row_label_raw,row_label_full,Mã số,TÀI SÁN,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SÁN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
100,100,100,A. TÀI SÁN NGÂN HẠN,,25.313.340.937.922,23.720.012.081.453,,,25313340937922.0,23720012081453.0
110,110,110,I. Tiền và các khoản tương đương tiền,5,2.540.097.046.548,3.773.258.514.376,,5.0,2540097046548.0,3773258514376.0
111,111,111,1. Tiền,,659.340.439.798,536.088.166.013,,,659340439798.0,536088166013.0
112,112,112,2. Các khoản tương đương tiền,,1.880.756.606.750,3.237.170.348.363,,,1880756606750.0,3237170348363.0
120,120,120,II. Đầu tư tài chính ngắn hạn,6,1.050.124.713.081,987.365.844.583,,6.0,1050124713081.0,987365844583.0
123,123,123,1. Đầu tư nằm giữ đến ngày đáo hạn,,1.050.124.713.081,987.365.844.583,,,1050124713081.0,987365844583.0
130,130,130,III. Các khoản phải thu ngắn hạn,,3.637.168.001.946,3.569.826.440.405,,,3637168001946.0,3569826440405.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,7,1.526.408.217.022,1.309.886.554.022,,7.0,1526408217022.0,1309886554022.0
132,132,132,2. Trả trước cho người bán ngắn hạn,8,966.395.009.001,1.232.260.845.097,,8.0,966395009001.0,1232260845097.0
135,135,135,3. Phải thu về cho vay ngắn hạn,9,106.289.212.750,106.289.212.750,,9.0,106289212750.0,106289212750.0
136,136,136,4. Phải thu ngắn hạn khác,10,1.059.933.175.498,939.892.313.505,,10.0,1059933175498.0,939892313505.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,"7, 10",(21.857.612.325),(18.502.484.969),,,-21857612325.0,-18502484969.0
140,140,140,IV. Hàng tồn kho,11,17.352.988.318.690,14.830.200.081.461,,11.0,17352988318690.0,14830200081461.0
141,141,141,1. Hàng tồn kho,,17.420.842.693.210,14.900.034.678.237,,,17420842693210.0,14900034678237.0
149,149,149,2. Dự phòng giảm giá hàng tồn kho,,(67.854.374.520),(69.834.596.776),,,-67854374520.0,-69834596776.0
150,150,150,V. Tài sản ngắn hạn khác,,732.962.857.657,559.361.200.628,,,732962857657.0,559361200628.0
151,151,151,1. Chi phí trả trước ngắn hạn,12,344.452.583.648,252.811.593.759,,12.0,344452583648.0,252811593759.0
152,152,152,2. Thuế giá trị gia tăng được khấu trừ,21,387.158.373.435,305.520.152.552,,21.0,387158373435.0,305520152552.0
153,153,153,3. Thuế và các khoản khác phải thu Nhà nước,21,1.351.900.574,1.029.454.317,,21.0,1351900574.0,1029454317.0
