row_label_raw,row_label_full,Công ty,Địa điểm,Ngành nghề Tỷ lệ sở hữu và kinh doanh biểu quyết (%),Ngành nghề Tỷ lệ sở hữu và kinh doanh biểu quyết (%)_1,numeric__Địa điểm,numeric__Ngành nghề Tỷ lệ sở hữu và kinh doanh biểu quyết (%),numeric__Ngành nghề Tỷ lệ sở hữu và kinh doanh biểu quyết (%)_1
"Công ty conCông ty Cổ phần Nam Long VCD (""Nam Long VCD"")","Công ty conCông ty Cổ phần Nam Long VCD (""Nam Long VCD"")","Công ty conCông ty Cổ phần Nam Long VCD (""Nam Long VCD"")",Tính Long An,Xây dựng và bất động sản,"99,96",,,99.96
"Công ty Cổ phần Bất Đông sản Nguyên Sơn (""Nguyên Sơn"")","Công ty Cổ phần Bất Đông sản Nguyên Sơn (""Nguyên Sơn"")","Công ty Cổ phần Bất Đông sản Nguyên Sơn (""Nguyên Sơn"")","Tp. Hồ Chí Minh (""TPHCM"")",Bất động sản,"87,33",,,87.33
Công ty Cổ phần Đầu tư Nam Phan,Công ty Cổ phần Đầu tư Nam Phan,Công ty Cổ phần Đầu tư Nam Phan,TPHCM,Bất động sản,"100,00",,,100.0
Công ty TNHH Phát triển Cần hộ Nam Long,Công ty TNHH Phát triển Cần hộ Nam Long,Công ty TNHH Phát triển Cần hộ Nam Long,TPHCM,Xây dựng và bất động sản,"100,00",,,100.0
Công ty Cổ phần Nam Long Mekong (trước đây là Công ty Cổ phần Nam Long - Hồng Phát),Công ty Cổ phần Nam Long Mekong (trước đây là Công ty Cổ phần Nam Long - Hồng Phát),Công ty Cổ phần Nam Long Mekong (trước đây là Công ty Cổ phần Nam Long - Hồng Phát),Tp. Cần Thơ,Xây dựng và bất động sản,"99,98",,,99.98
Công ty Cổ phần NLG - NNR - HR Fuji (*),Công ty Cổ phần NLG - NNR - HR Fuji (*),Công ty Cổ phần NLG - NNR - HR Fuji (*),TPHCM,Xây dựng và bất động sản,"50,00",,,50.0
Công ty TNHH NNH Kikyo Flora,Công ty TNHH NNH Kikyo Flora,Công ty TNHH NNH Kikyo Flora,TPHCM,Bất động sản,"100,00",,,100.0
Công ty TNHH NNH Kikyo Valora (*),Công ty TNHH NNH Kikyo Valora (*),Công ty TNHH NNH Kikyo Valora (*),TPHCM,Bất động sản,"50,00",,,50.0
Công ty TNHH Đầu tư và Kinh doanh Bất động sản Nguyên Phúc,Công ty TNHH Đầu tư và Kinh doanh Bất động sản Nguyên Phúc,Công ty TNHH Đầu tư và Kinh doanh Bất động sản Nguyên Phúc,TPHCM,Bất động sản,"100,00",,,100.0
Công ty TNHH Một Thành viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty TNHH Một Thành viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty TNHH Một Thành viên Đầu tư Xây dựng Phát triển Nam Khang,TPHCM,Xây dựng và bất động sản,"100,00",,,100.0
Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên,Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên,Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên,TPHCM,Dịch vụ,"81,25",,,81.25
Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,TPHCM,Kinh doanh thương mại vật liệu xây dựng,"100,00",,,100.0
"Công ty Cổ phần 6D (""6D"")","Công ty Cổ phần 6D (""6D"")","Công ty Cổ phần 6D (""6D"")",TPHCM,Xây dựng và bất động sản,"76,03",,,76.03
Công ty TNHH Một Thành Viên Sản Giao dịch Bất Đông sản Nam Long,Công ty TNHH Một Thành Viên Sản Giao dịch Bất Đông sản Nam Long,Công ty TNHH Một Thành Viên Sản Giao dịch Bất Đông sản Nam Long,TPHCM,Sản giao dịch bất động sản,"100,00",,,100.0
Công ty TNHH MTV Dịch vụ Nam Long,Công ty TNHH MTV Dịch vụ Nam Long,Công ty TNHH MTV Dịch vụ Nam Long,TPHCM,Dịch vụ và xây dựng,"100,00",,,100.0
Công ty TNHH MTV Dịch vụ Vận tải Nam Long,Công ty TNHH MTV Dịch vụ Vận tải Nam Long,Công ty TNHH MTV Dịch vụ Vận tải Nam Long,TPHCM,Dịch vụ vận tải,"100,00",,,100.0
Công ty TNHH Nam Long Commercial Property (trước đây là Công ty TNHH MTV Quản lý và Khai thác Bất Đông Sản Nam Long),Công ty TNHH Nam Long Commercial Property (trước đây là Công ty TNHH MTV Quản lý và Khai thác Bất Đông Sản Nam Long),Công ty TNHH Nam Long Commercial Property (trước đây là Công ty TNHH MTV Quản lý và Khai thác Bất Đông Sản Nam Long),TPHCM,Xây dựng và bất động sản,"100,00",,,100.0
Công ty TNHH Đầu tư Nam Long Land (trước đây là Công ty TNHH Quản lý Xây dựng và Đầu tư Nam Long),Công ty TNHH Đầu tư Nam Long Land (trước đây là Công ty TNHH Quản lý Xây dựng và Đầu tư Nam Long),Công ty TNHH Đầu tư Nam Long Land (trước đây là Công ty TNHH Quản lý Xây dựng và Đầu tư Nam Long),TPHCM,Dịch vụ quản lý,"100,00",,,100.0
Công ty TNHH Thành phố Waterfront Đồng Nai,Công ty TNHH Thành phố Waterfront Đồng Nai,Công ty TNHH Thành phố Waterfront Đồng Nai,Tính Đồng Nai,Bất động sản,"65,10",,,65.1
"Công ty Cổ phần Southgate (""Southgate"")","Công ty Cổ phần Southgate (""Southgate"")","Công ty Cổ phần Southgate (""Southgate"")",TPHCM,Bất động sản,"65,00",,,65.0
Công ty TNHH Đầu tư Nam Phát Land,Công ty TNHH Đầu tư Nam Phát Land,Công ty TNHH Đầu tư Nam Phát Land,TPHCM,Bất động sản,"100,00",,,100.0
Công ty TNHH Nam Long Retail (trước đây là Công ty TNHH Nam Long Commercial),Công ty TNHH Nam Long Retail (trước đây là Công ty TNHH Nam Long Commercial),Công ty TNHH Nam Long Retail (trước đây là Công ty TNHH Nam Long Commercial),TPHCM,Bất động sản,"100,00",,,100.0
Công ty TNHH Nam Long SPV (***),Công ty TNHH Nam Long SPV (***),Công ty TNHH Nam Long SPV (***),TPHCM,Bất động sản,"100,00",,,100.0
"Công ty liên doanhCông ty TNHH Paragon Đại Phước (""Paragon"") (**)","Công ty liên doanhCông ty TNHH Paragon Đại Phước (""Paragon"") (**)","Công ty liên doanhCông ty TNHH Paragon Đại Phước (""Paragon"") (**)",TPHCM,Bất động sản,"75,00",,,75.0
"Công ty Cổ phần NNH Mizuki (""NNH Mizuki"")","Công ty Cổ phần NNH Mizuki (""NNH Mizuki"")","Công ty Cổ phần NNH Mizuki (""NNH Mizuki"")",TPHCM,Bất động sản,"50,00",,,50.0
Công ty liên kếtCông ty TNHH Anabuki NL Housing Service Việt Nam,Công ty liên kếtCông ty TNHH Anabuki NL Housing Service Việt Nam,Công ty liên kếtCông ty TNHH Anabuki NL Housing Service Việt Nam,TPHCM,Bất động sản,"30,59",,,30.59
