row_label_raw,row_label_full,col_0,Anabuki,NNH Mizuki,Paragon,VND Tổng cộng,numeric__Anabuki,numeric__NNH Mizuki,numeric__Paragon,numeric__VND Tổng cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,834.000.000,750.000.000.000,1.251.778.695.316,2.002.612.695.316,834000000.0,750000000000.0,1251778695316.0,2002612695316.0
Tăng trong năm,Giá trị đầu tư: > Tăng trong năm,Tăng trong năm,3.754.500.000,-,-,3.754.500.000,3754500000.0,,,3754500000.0
Giảm trong năm,Giá trị đầu tư: > Giảm trong năm,Giảm trong năm,-,(210.000.000.000),-,(210.000.000.000),,-210000000000.0,,-210000000000.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,4.588.500.000,540.000.000.000,1.251.778.695.316,1.796.367.195.316,4588500000.0,540000000000.0,1251778695316.0,1796367195316.0
Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,,,,
Số đầu năm,Phần lũy kế lợi nhuận sau khi mua: > Số đầu năm,Số đầu năm,7.007.096.512,24.809.835.172,-,31.816.931.684,7007096512.0,24809835172.0,,31816931684.0
"Phần lãi (lỗ) từ công ty liên kết, liên doanh","Phần lũy kế lợi nhuận sau khi mua: > Phần lãi (lỗ) từ công ty liên kết, liên doanh","Phần lãi (lỗ) từ công ty liên kết, liên doanh",2.208.741.684,416.624.694.846,(627.802.350),418.205.634.180,2208741684.0,416624694846.0,-627802350.0,418205634180.0
Cổ tức cổ phiếu ưu đãi,Phần lũy kế lợi nhuận sau khi mua: > Cổ tức cổ phiếu ưu đãi,Cổ tức cổ phiếu ưu đãi,-,(28.985.296.803),-,(28.985.296.803),,-28985296803.0,,-28985296803.0
Số cuối năm,Phần lũy kế lợi nhuận sau khi mua: > Số cuối năm,Số cuối năm,9.215.838.196,412.449.233.215,(627.802.350),421.037.269.061,9215838196.0,412449233215.0,-627802350.0,421037269061.0
Giá trị ghi số:,Giá trị ghi số:,Giá trị ghi số:,Giá trị ghi số:,Giá trị ghi số:,Giá trị ghi số:,Giá trị ghi số:,,,,
Số đầu năm,Giá trị ghi số: > Số đầu năm,Số đầu năm,7.841.096.512,774.809.835.172,1.251.778.695.316,2.034.429.627.000,7841096512.0,774809835172.0,1251778695316.0,2034429627000.0
Số cuối năm,Giá trị ghi số: > Số cuối năm,Số cuối năm,13.804.338.196,952.449.233.215,1.251.150.892.966,2.217.404.464.377,13804338196.0,952449233215.0,1251150892966.0,2217404464377.0
