row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
,,,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Tổng lợi nhuận trước thuế Điều chỉnh cho các khoản: Khẩu hao và hao mòn,,968.082.678.798,1.069.831.799.498,,,968082678798.0,1069831799498.0
02,02,02,Tổng lợi nhuận trước thuế Điều chỉnh cho các khoản: Khẩu hao và hao mòn,"13, 14, 15, 18",,,,,,
03,02 > 03,03,Dự phòng (hoàn nhập dự phòng),,48.740.422.000,35.636.842.071,,,48740422000.0,35636842071.0
05,02 > 05,05,Lãi từ hoạt động đầu tư,,30.274.788.159,(151.408.356),,,30274788159.0,-151408356.0
06,02 > 06,06,Chi phí lãi vay,,(655.381.509.365),(409.547.217.021),,,-655381509365.0,-409547217021.0
08,02 > 08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,296.192.334.382,147.629.336.674,,,296192334382.0,147629336674.0
09,02 > 09,09,Tăng các khoản phải thu,,687.908.713.974,843.399.352.866,,,687908713974.0,843399352866.0
10,02 > 10,10,Tăng hàng tồn kho,,(56.859.078.843),(2.435.484.687.995),,,-56859078843.0,-2435484687995.0
11,02 > 11,11,Tăng các khoản phải trả,,(2.427.513.153.656),(593.433.126.582),,,-2427513153656.0,-593433126582.0
12,02 > 12,12,Giảm (tăng) chi phí trả trước,,220.371.661.741,1.664.501.833.428,,,220371661741.0,1664501833428.0
14,02 > 14,14,Tiền lãi vay đã trả,,141.945.176.010,(154.118.210.563),,,141945176010.0,-154118210563.0
15,02 > 15,15,Thuế TNDN đã nộp,21,(533.766.008.772),(117.913.066.917),,21.0,-533766008772.0,-117913066917.0
17,02 > 17,17,Tiền chi khác cho hoạt động kinh doanh,,(348.224.329.850),(210.651.122.587),,,-348224329850.0,-210651122587.0
20,02 > 20,20,Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,,(26.927.162.356),(27.100.321.543),,,-26927162356.0,-27100321543.0
,,,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,02 > 21,21,Tiền chi để mua sắm tài sản cố định,,(23.499.360.492),(73.013.805.376),,,-23499360492.0,-73013805376.0
23,02 > 23,23,Tiền chi cho vay và tiền gửi có kỳ hạn,,-,(276.696.997.861),,,,-276696997861.0
24,02 > 24,24,Tiền thu hồi cho vay và tiền gửi có kỳ hạn,,36.241.131.502,-,,,36241131502.0,
25,02 > 25,25,Tiền chi đầu tư góp vốn vào các đơn vị khác,,(173.754.500.000),(533.600.000.000),,,-173754500000.0,-533600000000.0
26,02 > 26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,337.993.320.000,1.181.269.491.525,,,337993320000.0,1181269491525.0
27,02 > 27,27,Tiền thu lãi cho vay và cổ tức,,227.535.964.510,153.546.425.351,,,227535964510.0,153546425351.0
30,02 > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,404.516.555.520,451.505.113.639,,,404516555520.0,451505113639.0
