row_label_raw,row_label_full,Các bên liên quan,Nội dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
NNH Mizuki,NNH Mizuki,NNH Mizuki,Doanh thu từ dịch vụquần lý dự án (*),428.366.135.632,158.946.384.249,,428366135632.0,158946384249.0
NNH Mizuki,NNH Mizuki,NNH Mizuki,Thu hồi vốn đầu tưThu nhập cổ tức,210.000.000.000,-,,210000000000.0,
NNH Mizuki,NNH Mizuki,NNH Mizuki,Thu hồi vốn đầu tưThu nhập cổ tức,28.985.296.803,46.000.000.000,,28985296803.0,46000000000.0
Paragon,Paragon,Paragon,Góp vốnDoanh thu từ dịch vụquần lý dự án (*),80.000.000.000,-,,80000000000.0,
Paragon,Paragon,Paragon,Góp vốnDoanh thu từ dịch vụquần lý dự án (*),28.087.000.000,-,,28087000000.0,
Công ty TNHHĐầu tư Tân Hiệp,Công ty TNHHĐầu tư Tân Hiệp,Công ty TNHHĐầu tư Tân Hiệp,Mua cổ phầnChuyển nhượng vốnTạm ứng mua cổ phần,190.000.000.000,-,,190000000000.0,
Công ty TNHHĐầu tư Tân Hiệp,Công ty TNHHĐầu tư Tân Hiệp,Công ty TNHHĐầu tư Tân Hiệp,Mua cổ phầnChuyển nhượng vốnTạm ứng mua cổ phần,-,89.830.508.475,,,89830508475.0
Công ty TNHHĐầu tư Tân Hiệp,Công ty TNHHĐầu tư Tân Hiệp,Công ty TNHHĐầu tư Tân Hiệp,Mua cổ phầnChuyển nhượng vốnTạm ứng mua cổ phần,-,100.000.000.000,,,100000000000.0
Công ty TNHHAnabuki NLHousing ServiceViệt Nam,Công ty TNHHAnabuki NLHousing ServiceViệt Nam,Công ty TNHHAnabuki NLHousing ServiceViệt Nam,Phí dịch vụ quản lýDoanh thu từ dịch vụquần lý dự án (*),57.516.668.360,6.691.091.279,,57516668360.0,6691091279.0
Công ty TNHHAnabuki NLHousing ServiceViệt Nam,Công ty TNHHAnabuki NLHousing ServiceViệt Nam,Công ty TNHHAnabuki NLHousing ServiceViệt Nam,Phí dịch vụ quản lýDoanh thu từ dịch vụquần lý dự án (*),2.299.158.808,1.688.382.656,,2299158808.0,1688382656.0
Công ty Cổ phầnĐầu tư Thái Bình,Công ty Cổ phầnĐầu tư Thái Bình,Công ty Cổ phầnĐầu tư Thái Bình,Chuyển nhượng vốnNhận chuyển nhượngcổ phầnTạm ứng mua cổ phầnNhận góp vốn,-,572.669.491.525,,,572669491525.0
Công ty Cổ phầnĐầu tư Thái Bình,Công ty Cổ phầnĐầu tư Thái Bình,Công ty Cổ phầnĐầu tư Thái Bình,Chuyển nhượng vốnNhận chuyển nhượngcổ phầnTạm ứng mua cổ phầnNhận góp vốn,-,358.600.000.000,,,358600000000.0
Công ty Cổ phầnĐầu tư Thái Bình,Công ty Cổ phầnĐầu tư Thái Bình,Công ty Cổ phầnĐầu tư Thái Bình,Chuyển nhượng vốnNhận chuyển nhượngcổ phầnTạm ứng mua cổ phầnNhận góp vốn,-,293.769.491.525,,,293769491525.0
Công ty Cổ phầnĐầu tư Thái Bình,Công ty Cổ phầnĐầu tư Thái Bình,Công ty Cổ phầnĐầu tư Thái Bình,Chuyển nhượng vốnNhận chuyển nhượngcổ phầnTạm ứng mua cổ phầnNhận góp vốn,-,64.830.508.475,,,64830508475.0
(*) Doanh thu với bên liên quan (TM số 30),(*) Doanh thu với bên liên quan (TM số 30),(*) Doanh thu với bên liên quan (TM số 30),(*) Doanh thu với bên liên quan (TM số 30),458.752.294.440,160.634.766.905,,458752294440.0,160634766905.0
