row_label_raw,row_label_full,Số đầu năm > Lợi nhuận thuần trong năm,Năm nay > 4.325.120.571.753 > 316.741.032.777,VNDNăm trước > 4.598.222.320.688 > 309.271.835.891,numeric__Năm nay > 4.325.120.571.753 > 316.741.032.777,numeric__VNDNăm trước > 4.598.222.320.688 > 309.271.835.891
Tăng vốn điều lệ,Tăng vốn điều lệ,Tăng vốn điều lệ,-,187.447.900.000,,187447900000.0
Giao dịch vốn,Giao dịch vốn,Giao dịch vốn,(137.188.890.512),(233.492.528.726),-137188890512.0,-233492528726.0
Thoái vốn trong năm bằng tiền,Thoái vốn trong năm bằng tiền,Thoái vốn trong năm bằng tiền,-,(175.000.000.000),,-175000000000.0
Cổ tức đã công bố (*),Cổ tức đã công bố (*),Cổ tức đã công bố (*),(355.133.057.208),(361.328.956.100),-355133057208.0,-361328956100.0
Số cuối năm,Số cuối năm,Số cuối năm,4.149.539.656.810,4.325.120.571.753,4149539656810.0,4325120571753.0
(*) Trong đó:Cổ tức đã thực trả bằng tiền,(*) Trong đó:Cổ tức đã thực trả bằng tiền,(*) Trong đó:Cổ tức đã thực trả bằng tiền,111.519.892.354,179.510.005.550,111519892354.0,179510005550.0
