row_label_raw,row_label_full,Họ và tên,Chức vụ,Thu nhập,Thu nhập_1,numeric__Chức vụ,numeric__Thu nhập,numeric__Thu nhập_1
Họ và tên,Họ và tên,Họ và tên,Chức vụ,Năm nay,Năm trước,,,
Ông Nguyễn Xuân Quang,Họ và tên > Ông Nguyễn Xuân Quang,Ông Nguyễn Xuân Quang,"Chủ tịch HĐQT(Thành viên Thương trực HĐQT, kiểm Trường Tiểu ban Đầu tư và Thành viên Tiểu ban Nhân sự)",5.141.157.112,5.141.157.112,,5141157112.0,5141157112.0
Ông Trần Thanh Phong,Họ và tên > Ông Trần Thanh Phong,Ông Trần Thanh Phong,"Phó chủ tịch HĐQT(Thành viên Thương trực HĐQT, kiểm Trường Tiểu ban Quan hệ Cổ đông, Thành viên Tiểu ban Đầu tư và Thành viên Tiểu ban Kiểm toán)",4.239.791.429,4.239.791.429,,4239791429.0,4239791429.0
Ông Cao Tấn Thạch,Họ và tên > Ông Cao Tấn Thạch,Ông Cao Tấn Thạch,Thành viên (kiêm Thành viên Tiểu ban Kiểm toán),2.709.380.864,2.709.380.864,,2709380864.0,2709380864.0
Ông Ngian Siew Siong,Họ và tên > Ông Ngian Siew Siong,Ông Ngian Siew Siong,Thành viên độc lập(kiêm Trường Tiểu ban Nhân sự và Thành viên Tiểu ban Đầu tư),1.310.835.984,1.310.835.984,,1310835984.0,1310835984.0
Ông Kenneth Michael Atkinson,Họ và tên > Ông Kenneth Michael Atkinson,Ông Kenneth Michael Atkinson,Thành viên độc lập(kiêm Trường Tiểu ban Kiểm toán),1.116.903.755,1.116.903.755,,1116903755.0,1116903755.0
Ông Chad Ryan Ovel,Họ và tên > Ông Chad Ryan Ovel,Ông Chad Ryan Ovel,Thành viên độc lập(kiêm Thành viên Tiểu ban Nhân sự),978.380.735,978.380.735,,978380735.0,978380735.0
Ông Ziang Tony Ngo,Họ và tên > Ông Ziang Tony Ngo,Ông Ziang Tony Ngo,Thành viên độc lập(kiêm Thành viên Tiểu ban Đầu tư),978.380.735,978.380.735,,978380735.0,978380735.0
Ông Joseph Low Kar Yew,Họ và tên > Ông Joseph Low Kar Yew,Ông Joseph Low Kar Yew,Thành viên(kiêm Thành viên Tiểu ban Kiểm toán),701.334.693,701.334.693,,701334693.0,701334693.0
Ông Nguyễn Đức Thuấn,Họ và tên > Ông Nguyễn Đức Thuấn,Ông Nguyễn Đức Thuấn,Thành viên,507.402.464,507.402.464,,507402464.0,507402464.0
TỔNG CỔNG,Họ và tên > TỔNG CỔNG,TỔNG CỔNG,,17.683.567.771,17.683.567.771,,17683567771.0,17683567771.0
