row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,"Nhà cửa,vật kiến trúc",VNDTổng cộng,numeric__Quyềnsử dụng đất,"numeric__Nhà cửa,vật kiến trúc",numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,25.019.644.770,346.523.751.871,371.543.396.641,25019644770.0,346523751871.0,371543396641.0
Chuyển từ chi phí xây dựngcơ bản dở dang,Nguyên giá: > Chuyển từ chi phí xây dựngcơ bản dở dang,Chuyển từ chi phí xây dựngcơ bản dở dang,-,2.561.322.400,2.561.322.400,,2561322400.0,2561322400.0
Chuyển từ tài sản cố định,Nguyên giá: > Chuyển từ tài sản cố định,Chuyển từ tài sản cố định,-,18.656.198.795,18.656.198.795,,18656198795.0,18656198795.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,(29.570.002.771),(29.570.002.771),,-29570002771.0,-29570002771.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,25.019.644.770,338.171.270.295,363.190.915.065,25019644770.0,338171270295.0,363190915065.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,816.491.827,-,816.491.827,816491827.0,,816491827.0
Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,,,
Số đầu năm,Giá trị khấu hao và hao mòn lũy kế: > Số đầu năm,Số đầu năm,(9.610.737.250),(24.800.908.531),(34.411.645.781),-9610737250.0,-24800908531.0,-34411645781.0
Tăng trong năm,Giá trị khấu hao và hao mòn lũy kế: > Tăng trong năm,Tăng trong năm,(333.385.948),(12.046.911.564),(12.380.297.512),-333385948.0,-12046911564.0,-12380297512.0
Chuyển từ tài sản cố định,Giá trị khấu hao và hao mòn lũy kế: > Chuyển từ tài sản cố định,Chuyển từ tài sản cố định,-,(14.136.204.975),(14.136.204.975),,-14136204975.0,-14136204975.0
Thanh lý,Giá trị khấu hao và hao mòn lũy kế: > Thanh lý,Thanh lý,-,2.625.685.176,2.625.685.176,,2625685176.0,2625685176.0
Số cuối năm,Giá trị khấu hao và hao mòn lũy kế: > Số cuối năm,Số cuối năm,(9.944.123.198),(48.358.339.894),(58.302.463.092),-9944123198.0,-48358339894.0,-58302463092.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,15.408.907.520,321.722.843.340,337.131.750.860,15408907520.0,321722843340.0,337131750860.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,15.075.521.572,289.812.930.401,304.888.451.973,15075521572.0,289812930401.0,304888451973.0
