row_label_raw,row_label_full,Tổ chức thu xếp/ bảo lãnhphát hành > Công tyCổ phần Chứng khoán Thành phốHồ Chí Minh > Công tyCổ phần Chứng khoán KỹThương > GuarantCo Ltd > Công ty Cổ phần Chứng khoánQuốc tế ViệtNam (VIS),Trái chủ > International Finance Corporation > Công ty Cổ phầnChứng khoán Kỹ Thương > Công ty TNHH Manulife (Việt Nam) > TNHH Bảo hiểm Nhân thọ AIA (Việt Nam) > TNHH Bảo hiểm Nhân thọ Generali Việt Nam > Ngân hàng TMCPPhương Đông,Số tiền(VND) > 1.000.000.000.000 > 950.000.000.000 > 510.000.000.000 > 120.000.000.000 > 30.000.000.000 > 500.000.000.000,"Lãi suất(%/năm) > 9,35% - 12,94% > 13,78% > 6,50% > 9,60%",Ngày đảo hạn > Ngày 28 tháng 3 năm 2029 > Ngày 6 tháng 9 năm 2024 > Ngày 19 tháng 6 năm 2025 > Ngày 28 tháng 9 năm 2028,Mục đích > Tài trợ và đầu tư cho các dự án,"Hình thức đảm bảo > 182.553.653 cổ phiếu Nam Long VCD do Nhóm Công ty sở hữu > Tín chấp > 56.165.462 cổ phiếu Nam Long VCD do Công ty sở hữu > Quyền sử dụng đất tại Thừa 7692,Tờ Bản đồ Số 5, Xã An Thạnh,Huyện Bến Lức, Tĩnh Long An",numeric__Trái chủ > International Finance Corporation > Công ty Cổ phầnChứng khoán Kỹ Thương > Công ty TNHH Manulife (Việt Nam) > TNHH Bảo hiểm Nhân thọ AIA (Việt Nam) > TNHH Bảo hiểm Nhân thọ Generali Việt Nam > Ngân hàng TMCPPhương Đông,numeric__Số tiền(VND) > 1.000.000.000.000 > 950.000.000.000 > 510.000.000.000 > 120.000.000.000 > 30.000.000.000 > 500.000.000.000,"numeric__Lãi suất(%/năm) > 9,35% - 12,94% > 13,78% > 6,50% > 9,60%",numeric__Ngày đảo hạn > Ngày 28 tháng 3 năm 2029 > Ngày 6 tháng 9 năm 2024 > Ngày 19 tháng 6 năm 2025 > Ngày 28 tháng 9 năm 2028,numeric__Mục đích > Tài trợ và đầu tư cho các dự án,"numeric__Hình thức đảm bảo > 182.553.653 cổ phiếu Nam Long VCD do Nhóm Công ty sở hữu > Tín chấp > 56.165.462 cổ phiếu Nam Long VCD do Công ty sở hữu > Quyền sử dụng đất tại Thừa 7692,Tờ Bản đồ Số 5, Xã An Thạnh,Huyện Bến Lức, Tĩnh Long An"
Trừ:Chi phí phát hành,Trừ:Chi phí phát hành,Trừ:Chi phí phát hành,Trừ:Chi phí phát hành,(35.023.449.239),,,,,,-35023449239.0,,,,
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,3.074.976.550.761,,,,,,3074976550761.0,,,,
Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,2.131.460.300.761,,,,,,2131460300761.0,,,,
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,943.516.250.000,,,,,,943516250000.0,,,,
