row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuận sau thuếchưa phân phối,VNDTổng công,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng công
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.829.400.130.000,2.643.023.306.759,10.709.490.423,2.216.611.139,2.444.093.640.820,8.929.443.179.141,3829400130000.0,2643023306759.0,10709490423.0,2216611139.0,2444093640820.0,8929443179141.0
Phát hành cổ phiếu theo Chương trình lựa chọncho cán bộ quản lý cấp cao của Công ty,Năm trước > Phát hành cổ phiếu theo Chương trình lựa chọncho cán bộ quản lý cấp cao của Công ty,Phát hành cổ phiếu theo Chương trình lựa chọncho cán bộ quản lý cấp cao của Công ty,11.402.870.000,-,-,-,-,11.402.870.000,11402870000.0,,,,,11402870000.0
Giao dịch vốn với cổ đông không kiểm soát củacông ty con,Năm trước > Giao dịch vốn với cổ đông không kiểm soát củacông ty con,Giao dịch vốn với cổ đông không kiểm soát củacông ty con,-,-,-,-,(125.107.471.274),(125.107.471.274),,,,,-125107471274.0,-125107471274.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,556.273.710.440,556.273.710.440,,,,,556273710440.0,556273710440.0
Cổ tức bằng tiền công bố,Năm trước > Cổ tức bằng tiền công bố,Cổ tức bằng tiền công bố,-,-,-,-,(329.172.675.639),(329.172.675.639),,,,,-329172675639.0,-329172675639.0
Thường Hội đồng Quản trị,Năm trước > Thường Hội đồng Quản trị,Thường Hội đồng Quản trị,-,-,-,-,(10.710.000.000),(10.710.000.000),,,,,-10710000000.0,-10710000000.0
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(42.120.000.000),(42.120.000.000),,,,,-42120000000.0,-42120000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.840.803.000.000,2.643.023.306.759,10.709.490.423,2.216.611.139,2.493.257.204.347,8.990.009.612.668,3840803000000.0,2643023306759.0,10709490423.0,2216611139.0,2493257204347.0,8990009612668.0
