row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,Tài sản thuế TNDN hoãn lại > Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,208.488.487.002,179.955.651.593,28.532.835.409,58.842.405.876,208488487002.0,179955651593.0,28532835409.0,58842405876.0
Chi phí phải trả,Tài sản thuế TNDN hoãn lại > Chi phí phải trả,Chi phí phải trả,74.373.199.498,102.220.042.778,(27.846.843.280),10.928.887.143,74373199498.0,102220042778.0,-27846843280.0,10928887143.0
Thuế TNDN tạm nộp trên các khoản nhận tiền trước từ khách hàng (I),Tài sản thuế TNDN hoãn lại > Thuế TNDN tạm nộp trên các khoản nhận tiền trước từ khách hàng (I),Thuế TNDN tạm nộp trên các khoản nhận tiền trước từ khách hàng (I),65.466.130.086,49.378.025.988,16.088.104.098,5.984.500.700,65466130086.0,49378025988.0,16088104098.0,5984500700.0
Lỗ thuế mang sang các ký sau,Tài sản thuế TNDN hoãn lại > Lỗ thuế mang sang các ký sau,Lỗ thuế mang sang các ký sau,92.926.527.946,-,92.926.527.946,-,92926527946.0,,92926527946.0,
Khác,Tài sản thuế TNDN hoãn lại > Khác,Khác,6.862.504.988,4.940.128.852,1.922.376.136,1.277.907.781,6862504988.0,4940128852.0,1922376136.0,1277907781.0
,,,448.116.849.520,336.493.849.211,,,448116849520.0,336493849211.0,,
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,
Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,Thuế TNDN hoãn lại phải trả > Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,(939.193.495.324),(966.084.955.101),26.891.459.777,-,-939193495324.0,-966084955101.0,26891459777.0,
Chi phí lãi vay đã được khấu trừ khi tính thuế nhưng được vốn hóa vào dự án trên báo cáo tài chính hợp nhất,Thuế TNDN hoãn lại phải trả > Chi phí lãi vay đã được khấu trừ khi tính thuế nhưng được vốn hóa vào dự án trên báo cáo tài chính hợp nhất,Chi phí lãi vay đã được khấu trừ khi tính thuế nhưng được vốn hóa vào dự án trên báo cáo tài chính hợp nhất,(110.061.545.470),(75.610.031.835),(34.451.513.635),(24.375.515.209),-110061545470.0,-75610031835.0,-34451513635.0,-24375515209.0
Chi phí đã được khấu trừ khi tính thuế nhưng được vốn hóa vào giá trị đầu tư trên báo cáo tài chính hợp nhất,Thuế TNDN hoãn lại phải trả > Chi phí đã được khấu trừ khi tính thuế nhưng được vốn hóa vào giá trị đầu tư trên báo cáo tài chính hợp nhất,Chi phí đã được khấu trừ khi tính thuế nhưng được vốn hóa vào giá trị đầu tư trên báo cáo tài chính hợp nhất,(4.920.000.000),(4.920.000.000),-,-,-4920000000.0,-4920000000.0,,
,,,(1.054.175.040.794),(1.046.614.986.936),,,-1054175040794.0,-1046614986936.0,,
Thu nhập thuế TNDN hoãn lại,Thuế TNDN hoãn lại phải trả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,104.062.946.451,52.658.186.291,,,104062946451.0,52658186291.0
