row_label_raw,row_label_full,Ngân hàng,Số cuối nămVND,Ngày đáo hạn,Lãi suất%/năm,Hình thức đảm bảo,numeric__Số cuối nămVND,numeric__Ngày đáo hạn,numeric__Lãi suất%/năm,numeric__Hình thức đảm bảo
Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,,,,
Vay 1,Ngân hàng TMCP Phương Đông > Vay 1,Vay 1,299.335.389.931,Từ ngày 29 tháng 2 năm 2024đến ngày 30 tháng 9 năm 2024,"6,50%","Thừa 2479 và Thừa 226, Tờ Bản đồ Số 5 và Thừa 779, TờBản đồ Số 6, Phường An Thạnh, HuyệnBến Lức, Tỉnh Long An (TM số 11)",299335389931.0,,0.065,
Vay 2,Ngân hàng TMCP Phương Đông > Vay 2,Vay 2,210.706.143.977,Từ ngày 13 tháng 10 năm 2024đến ngày 28 tháng 12 năm 2024,"6,80% - 7,00%","Thừa 7689 và Thừa 582, Tờ Bản đồ Số 5, Phường AnThạnh, Huyện Bến Lức, Tỉnh Long An và tài sản hình thànhtrong tương lai từ dự án Khu đỏ thị mới Vâm Cỏ ĐôngSouthgate (TM số 11)",210706143977.0,,,
Vay 3,Ngân hàng TMCP Phương Đông > Vay 3,Vay 3,181.791.735.285,Từ ngày 25 tháng 5 năm 2024đến ngày 16 tháng 11 năm 2024,"7,70% - 10,40%","Quyền sử dụng đất và các tài sản gắn liền với đất tọa lạctại Số 147-149, Đường Trần Trọng Cung, PhườngTân Thuận Đông, Quận 7, TP.HCM (TM số 13 và 14)",181791735285.0,,,
Vay 4,Ngân hàng TMCP Phương Đông > Vay 4,Vay 4,57.555.494.050,Từ ngày 31 tháng 10 năm 2024đến ngày 22 tháng 12 năm 2024,"6,60% - 7,30%",Quyền tài sản hình thành từ dự án Nhà ở xã hộiNguyên Sơn,57555494050.0,,,
Vay 5,Ngân hàng TMCP Phương Đông > Vay 5,Vay 5,16.002.911.261,Từ ngày 25 tháng 7 năm 2024đến ngày 28 tháng 9 năm 2024,"6,70% - 6,90%",Các khoản phải thu Công ty mẹ ở một công ty controng Tập đoàn,16002911261.0,,,
Ngân hàng TMCP NgoạiThương Việt Nam - Chinhành TP.HCM,Ngân hàng TMCP Phương Đông > Ngân hàng TMCP NgoạiThương Việt Nam - Chinhành TP.HCM,Ngân hàng TMCP NgoạiThương Việt Nam - Chinhành TP.HCM,89.888.697.677,Từ ngày 26 tháng 3 năm 2024đến ngày 24 tháng 6 năm 2024,"7,00%",Tín chấp,89888697677.0,,0.07,
Ngân hàng TNHH MTVStandard Chartered (ViệtNam),Ngân hàng TMCP Phương Đông > Ngân hàng TNHH MTVStandard Chartered (ViệtNam),Ngân hàng TNHH MTVStandard Chartered (ViệtNam),63.930.704.470,Từ ngày 20 tháng 2 năm 2024đến ngày 27 tháng 7 năm 2024,"7,54%","Quyền sử dụng đất tại Thừa 6262,Tờ bản đồ số 6, Xã An Thạnh, Huyện Bến Lức,Tỉnh Long An (TM số 11)",63930704470.0,,0.0754,
Ngân hàng TNHH MTVUnited Overseas Bank,Ngân hàng TMCP Phương Đông > Ngân hàng TNHH MTVUnited Overseas Bank,Ngân hàng TNHH MTVUnited Overseas Bank,32.885.621.824,Từ ngày 2 tháng 1 năm 2024đến ngày 3 tháng 4 năm 2024,"7,05% - 7,40%","Các khoản phải thu còn lại của Hợp đồng Thi công phầnthân và phần hoàn thiện Block A5, B2dự án MR1 Southgate",32885621824.0,,,
TỔNG CỘNG,Ngân hàng TMCP Phương Đông > TỔNG CỘNG,TỔNG CỘNG,952.096.698.475,,,,952096698475.0,,,
