row_label_raw,row_label_full,Các bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Các khoản phải thu ngắn hạn của khách hàng,Các khoản phải thu ngắn hạn của khách hàng,Các khoản phải thu ngắn hạn của khách hàng,Các khoản phải thu ngắn hạn của khách hàng,Các khoản phải thu ngắn hạn của khách hàng,Các khoản phải thu ngắn hạn của khách hàng,,,
Công ty Cổ phần Đầu tư Thái Bình,Các khoản phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đầu tư Thái Bình,Công ty Cổ phần Đầu tư Thái Bình,Chuyển nhượng vốn,278.900.000.000,278.900.000.000,,278900000000.0,278900000000.0
NNH Mizuki,Các khoản phải thu ngắn hạn của khách hàng > NNH Mizuki,NNH Mizuki,Dịch vụ tư vấn quản lý,147.770.651.722,130.758.018.858,,147770651722.0,130758018858.0
Paragon,Các khoản phải thu ngắn hạn của khách hàng > Paragon,Paragon,Dịch vụ tư vấn quản lý,66.973.000.000,55.653.496.201,,66973000000.0,55653496201.0
Công ty TNHH Anabuki NL Housing Service Việt Nam,Các khoản phải thu ngắn hạn của khách hàng > Công ty TNHH Anabuki NL Housing Service Việt Nam,Công ty TNHH Anabuki NL Housing Service Việt Nam,Dịch vụ tư vấn quản lý,2.482.686.907,1.826.212.914,,2482686907.0,1826212914.0
,,,,496.126.338.629,467.137.727.973,,496126338629.0,467137727973.0
Các khoản trả trước cho người bán ngắn hạn,Các khoản trả trước cho người bán ngắn hạn,Các khoản trả trước cho người bán ngắn hạn,Các khoản trả trước cho người bán ngắn hạn,Các khoản trả trước cho người bán ngắn hạn,Các khoản trả trước cho người bán ngắn hạn,,,
Công ty TNHH Anabuki NL Housing Service Việt Nam,Các khoản trả trước cho người bán ngắn hạn > Công ty TNHH Anabuki NL Housing Service Việt Nam,Công ty TNHH Anabuki NL Housing Service Việt Nam,Tạm ứng dịch vụ tư vấn,8.305.986.397,154.440.000,,8305986397.0,154440000.0
Công ty TNHH Đầu tư Tân Hiệp,Các khoản trả trước cho người bán ngắn hạn > Công ty TNHH Đầu tư Tân Hiệp,Công ty TNHH Đầu tư Tân Hiệp,Tạm ứng dịch vụ xây dựng,-,100.000.000.000,,,100000000000.0
,,,,8.305.986.397,100.154.440.000,,8305986397.0,100154440000.0
Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,,,
Paragon,Paragon,Paragon,Tạm ứng vốn góp Lãi cho vay,170.000.000.000 75.945.205,90.000.000.000 -,,,
NNH Mizuki,NNH Mizuki,NNH Mizuki,Phải thu từ HĐHTKD Thu nhập cố tức,55.445.462.994 3.485.296.803,45.536.139.824 -,,,
,,,,229.006.705.002,135.536.139.824,,229006705002.0,135536139824.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Công ty TNHH Anabuki NL Housing Service Việt Nam,Phải trả người bán ngắn hạn > Công ty TNHH Anabuki NL Housing Service Việt Nam,Công ty TNHH Anabuki NL Housing Service Việt Nam,Phí dịch vụ tư vấn quản lý,13.095.281.927,14.852.315.159,,13095281927.0,14852315159.0
Khách hàng trả trước ngắn hạn,Khách hàng trả trước ngắn hạn,Khách hàng trả trước ngắn hạn,Khách hàng trả trước ngắn hạn,Khách hàng trả trước ngắn hạn,Khách hàng trả trước ngắn hạn,,,
NNH Mizuki,Khách hàng trả trước ngắn hạn > NNH Mizuki,NNH Mizuki,Dịch vụ tư vấn xây dựng,1.523.519.750,11.858.703.003,,1523519750.0,11858703003.0
Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,,,
Công ty Cổ phần Đầu tư Thái Bình,Các khoản phải trả ngắn hạn khác > Công ty Cổ phần Đầu tư Thái Bình,Công ty Cổ phần Đầu tư Thái Bình,Nhận góp vốn,-,64.830.508.475,,,64830508475.0
Công ty TNHH Đầu tư Tân Hiệp,Các khoản phải trả ngắn hạn khác > Công ty TNHH Đầu tư Tân Hiệp,Công ty TNHH Đầu tư Tân Hiệp,Nhận góp vốn,-,10.169.491.525,,,10169491525.0
,,,,-,75.000.000.000,,,75000000000.0
