row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,Tài sản khác,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,98.666.140.312,27.436.432.195,27.421.047.617,10.746.062.958,4.238.447.197,168.508.130.279,98666140312.0,27436432195.0,27421047617.0,10746062958.0,4238447197.0,168508130279.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,1.313.350.679,288.078.000,2.587.346.363,101.060.000,96.000.000,4.385.835.042,1313350679.0,288078000.0,2587346363.0,101060000.0,96000000.0,4385835042.0
Chuyển từbất động sản đầu tư,Nguyên giá: > Chuyển từbất động sản đầu tư,Chuyển từbất động sản đầu tư,2.085.997.064,-,-,-,-,2.085.997.064,2085997064.0,,,,,2085997064.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,(18.656.198.795),3.535.987.515,(3.535.987.515),-,-,(18.656.198.795),-18656198795.0,3535987515.0,-3535987515.0,,,-18656198795.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,83.409.289.260,31.260.497.710,26.472.406.465,10.847.122.958,4.334.447.197,156.323.763.590,83409289260.0,31260497710.0,26472406465.0,10847122958.0,4334447197.0,156323763590.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,10.918.207.331,6.030.175.249,2.141.440.339,10.378.716.784,-,29.468.539.703,10918207331.0,6030175249.0,2141440339.0,10378716784.0,,29468539703.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(55.172.683.342),(14.925.173.812),(20.280.730.175),(9.734.900.826),(1.749.499.947),(101.862.988.102),-55172683342.0,-14925173812.0,-20280730175.0,-9734900826.0,-1749499947.0,-101862988102.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(3.388.846.692),(1.706.417.429),(3.431.218.188),(1.112.222.132),(809.390.016),(10.448.094.457),-3388846692.0,-1706417429.0,-3431218188.0,-1112222132.0,-809390016.0,-10448094457.0
Phân loại lại,Giá trị khấu hao lũy kế: > Phân loại lại,Phân loại lại,14.136.204.975,(2.066.793.377),2.066.793.377,-,-,14.136.204.975,14136204975.0,-2066793377.0,2066793377.0,,,14136204975.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(44.425.325.059),(18.698.384.618),(21.645.154.986),(10.847.122.958),(2.558.889.963),(98.174.877.584),-44425325059.0,-18698384618.0,-21645154986.0,-10847122958.0,-2558889963.0,-98174877584.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,43.493.456.970,12.511.258.383,7.140.317.442,1.011.162.132,2.488.947.250,66.645.142.177,43493456970.0,12511258383.0,7140317442.0,1011162132.0,2488947250.0,66645142177.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,38.983.964.201,12.562.113.092,4.827.251.479,-,1.775.557.234,58.148.886.006,38983964201.0,12562113092.0,4827251479.0,,1775557234.0,58148886006.0
Trong đó:Thế chấp để đảm bảo cho các khoản vay (TM số 24.1),Giá trị còn lại: > Trong đó:Thế chấp để đảm bảo cho các khoản vay (TM số 24.1),Trong đó:Thế chấp để đảm bảo cho các khoản vay (TM số 24.1),6.291.106.004,-,-,-,-,6.291.106.004,6291106004.0,,,,,6291106004.0
