row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Số cuối năm,Số đầu năm,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Cổ tức phải trả cổ đông không kiểm soát,Ngắn hạn > Cổ tức phải trả cổ đông không kiểm soát,Cổ tức phải trả cổ đông không kiểm soát,605.806.887.530,391.819.680.184,605806887530.0,391819680184.0
Khoản phải trả kinh phí bảo trì duy tubảo dưỡng,Ngắn hạn > Khoản phải trả kinh phí bảo trì duy tubảo dưỡng,Khoản phải trả kinh phí bảo trì duy tubảo dưỡng,292.385.410.195,274.034.531.009,292385410195.0,274034531009.0
Ký quỹ đã nhận,Ngắn hạn > Ký quỹ đã nhận,Ký quỹ đã nhận,153.456.300.632,78.513.760.713,153456300632.0,78513760713.0
Đặt cọc nhận của khách hàng để muabất động sản,Ngắn hạn > Đặt cọc nhận của khách hàng để muabất động sản,Đặt cọc nhận của khách hàng để muabất động sản,2.162.000.000,574.974.307.519,2162000000.0,574974307519.0
Khác,Ngắn hạn > Khác,Khác,78.511.249.285,42.942.688.907,78511249285.0,42942688907.0
,,,1.132.321.847.642,1.362.284.968.332,1132321847642.0,1362284968332.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Ký quỹ đã nhận,Dải hạn > Ký quỹ đã nhận,Ký quỹ đã nhận,120.520.308.831,121.188.855.790,120520308831.0,121188855790.0
Khác,Dải hạn > Khác,Khác,127.358.000,220.042.650,127358000.0,220042650.0
,,,120.647.666.831,121.408.898.440,120647666831.0,121408898440.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,1.252.969.514.473,1.483.693.866.772,1252969514473.0,1483693866772.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phái trả các bên khác,Trong đó: > Phái trả các bên khác,Phái trả các bên khác,1.252.969.514.473,1.408.693.866.772,1252969514473.0,1408693866772.0
Phái trả các bên liên quan (TM số 36),Trong đó: > Phái trả các bên liên quan (TM số 36),Phái trả các bên liên quan (TM số 36),-,75.000.000.000,,75000000000.0
