row_label_raw,row_label_full,Ông Hồ Minh Quang,Chủ tịch Hội đồngQuản trị,2.557.795.975,2.652.943.424,numeric__Chủ tịch Hội đồngQuản trị,numeric__2.557.795.975,numeric__2.652.943.424
Ông Võ Hoàng Vũ,Ông Võ Hoàng Vũ,Ông Võ Hoàng Vũ,Thành viên Hội đồngQuản trị kiểm TổngGiám đốc,2.205.118.082,2.250.187.268,,2205118082.0,2250187268.0
Ông Nguyễn Vinh An,Ông Nguyễn Vinh An,Ông Nguyễn Vinh An,Thành viên Hội đồngQuản trị kiểm PhóTổng Giám Đốc,1.190.327.538,1.756.830.884,,1190327538.0,1756830884.0
Bà Nguyễn Ngọc Ý Nhi,Bà Nguyễn Ngọc Ý Nhi,Bà Nguyễn Ngọc Ý Nhi,Thành viên Hội đồngQuản trị,100.000.000,140.000.000,,100000000.0,140000000.0
Ông Võ Thời,Ông Võ Thời,Ông Võ Thời,Thành viên Hội đồngQuản trị,100.000.000,140.000.000,,100000000.0,140000000.0
Ông Nguyễn Hữu Kinh Luân,Ông Nguyễn Hữu Kinh Luân,Ông Nguyễn Hữu Kinh Luân,Thành viên Hội đồngQuản trị,100.000.000,140.000.000,,100000000.0,140000000.0
Bà Nguyễn Thị Bích Nhi,Bà Nguyễn Thị Bích Nhi,Bà Nguyễn Thị Bích Nhi,Trường ban Kiểm soát,308.757.560,374.968.424,,308757560.0,374968424.0
Bà Võ Thị Vui,Bà Võ Thị Vui,Bà Võ Thị Vui,Thành viên ban Kiểm soát,353.625.101,290.794.149,,353625101.0,290794149.0
Ông Lê Nhật Tân,Ông Lê Nhật Tân,Ông Lê Nhật Tân,Thành viên ban Kiểm soát,298.888.686,305.049.075,,298888686.0,305049075.0
Các thành viên khác,Các thành viên khác,Các thành viên khác,Thành viên Ban TổngGiám Đốc,5.857.438.212,8.591.416.792,,5857438212.0,8591416792.0
,,,,13.071.951.154,16.642.190.016,,13071951154.0,16642190016.0
