row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,TSCĐ khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__TSCĐ khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,630.797.657.951,3.744.787.053.127,246.889.601.942,14.662.673.671,725.753.480,4.637.862.740.171,630797657951.0,3744787053127.0,246889601942.0,14662673671.0,725753480.0,4637862740171.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,3.136.719.779,20.993.419.866,737.700.000,-,24.867.839.645,,3136719779.0,20993419866.0,737700000.0,,24867839645.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 11),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 11),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 11),-,17.668.609.264,-,-,-,17.668.609.264,,17668609264.0,,,,17668609264.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(18.968.136.364),-,-,(18.968.136.364),,,-18968136364.0,,,-18968136364.0
Khác,Nguyên giá > Khác,Khác,-,(540.000.000),-,-,-,(540.000.000),,-540000000.0,,,,-540000000.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,630.797.657.951,3.765.052.382.170,248.914.885.444,15.400.373.671,725.753.480,4.660.891.052.716,630797657951.0,3765052382170.0,248914885444.0,15400373671.0,725753480.0,4660891052716.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,283.412.317.117,1.838.777.937.626,108.641.459.623,8.005.094.789,453.046.309,2.239.289.855.464,283412317117.0,1838777937626.0,108641459623.0,8005094789.0,453046309.0,2239289855464.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,42.893.055.084,288.529.780.907,17.352.905.582,1.298.394.089,50.242.962,350.124.378.624,42893055084.0,288529780907.0,17352905582.0,1298394089.0,50242962.0,350124378624.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(5.315.179.931),-,-,(5.315.179.931),,,-5315179931.0,,,-5315179931.0
Khác,Giá trị khấu hao lũy kế > Khác,Khác,-,(58.500.000),-,-,-,(58.500.000),,-58500000.0,,,,-58500000.0
Tại ngày 31 tháng 12 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,326.305.372.201,2.127.249.218.533,120.679.185.274,9.303.488.878,503.289.271,2.584.040.554.157,326305372201.0,2127249218533.0,120679185274.0,9303488878.0,503289271.0,2584040554157.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,347.385.340.834,1.906.009.115.501,138.248.142.319,6.657.578.882,272.707.171,2.398.572.884.707,347385340834.0,1906009115501.0,138248142319.0,6657578882.0,272707171.0,2398572884707.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,304.492.285.750,1.637.803.163.637,128.235.700.170,6.096.884.793,222.464.209,2.076.850.498.559,304492285750.0,1637803163637.0,128235700170.0,6096884793.0,222464209.0,2076850498559.0
