row_label_raw,row_label_full,Góp vốn:,Góp vốn:_1,Góp vốn:_2,numeric__Góp vốn:_1,numeric__Góp vốn:_2
Công ty TNHH Tôn Nam Kim Phú Mỹ,Công ty TNHH Tôn Nam Kim Phú Mỹ,Công ty TNHH Tôn Nam Kim Phú Mỹ,1.500.000.000,-,1500000000.0,
Công ty TNHH Một Thành Viên,Công ty TNHH Một Thành Viên,Công ty TNHH Một Thành Viên,,,,
Ông thép Nam Kim Chu Lai,Công ty TNHH Một Thành Viên > Ông thép Nam Kim Chu Lai,Ông thép Nam Kim Chu Lai,-,37.550.000.000,,37550000000.0
,,,1.500.000.000,37.550.000.000,1500000000.0,37550000000.0
