row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa,vật kiến trúc > Triệu VND","Máy móc,thiết bị > Triệu VND",Phương tiệnvận tải > Triệu VND,Thiết bị dụng cụquản lý > Triệu VND,Cộng > Triệu VND,"numeric__Nhà cửa,vật kiến trúc > Triệu VND","numeric__Máy móc,thiết bị > Triệu VND",numeric__Phương tiệnvận tải > Triệu VND,numeric__Thiết bị dụng cụquản lý > Triệu VND,numeric__Cộng > Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,65.500,124.698,66.271,43.432,299.901,65500.0,124698.0,66271.0,43432.0,299901.0
- Mua sắm trong năm,Nguyên giá > - Mua sắm trong năm,- Mua sắm trong năm,2.052,10.663,22.651,3.466,38.832,2052.0,10663.0,22651.0,3466.0,38832.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,67.551,135.361,88.923,46.898,338.733,67551.0,135361.0,88923.0,46898.0,338733.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,28.871,79.658,36.887,38.715,184.131,28871.0,79658.0,36887.0,38715.0,184131.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,2.595,12.537,6.903,1.998,24.033,2595.0,12537.0,6903.0,1998.0,24033.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,31.466,92.195,43.790,40.713,208.164,31466.0,92195.0,43790.0,40713.0,208164.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,36.629,45.040,29.384,4.717,115.770,36629.0,45040.0,29384.0,4717.0,115770.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,36.086,43.166,45.132,6.185,130.569,36086.0,43166.0,45132.0,6185.0,130569.0
