row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Năm nay/Cuối năm,Năm trước/ Đầu năm,Năm nay/Cuối năm,Năm trước/ Đầu năm,Năm nay/Cuối năm,Năm trước/ Đầu năm,Năm nay/Cuối năm,Năm trước/ Đầu năm,Năm nay/Cuối năm,Năm trước/ Đầu năm,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
I. Doanh thu,I. Doanh thu,I. Doanh thu,8.928.182,7.577.885,74.363,148.964,291.784,341.225,-,-,9.294.329,8.068.074,8928182.0,7577885.0,74363.0,148964.0,291784.0,341225.0,,,9294329.0,8068074.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,8.928.182,7.577.885,-,-,7.953,10.141,-,-,8.936.135,7.588.026,8928182.0,7577885.0,,,7953.0,10141.0,,,8936135.0,7588026.0
2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,-,-,74.363,148.964,-,-,-,-,74.363,148.964,,,74363.0,148964.0,,,,,74363.0,148964.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,-,-,-,-,283.831,331.084,-,-,283.831,331.084,,,,,283831.0,331084.0,,,283831.0,331084.0
II. Chi phí,II. Chi phí,II. Chi phí,6.976.823,5.895.513,25.967,43.413,102.453,148.348,1.097.776,871.064,8.203.019,6.958.338,6976823.0,5895513.0,25967.0,43413.0,102453.0,148348.0,1097776.0,871064.0,8203019.0,6958338.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,6.976.823,5.895.513,-,-,-,-,-,-,6.976.823,5.895.513,6976823.0,5895513.0,,,,,,,6976823.0,5895513.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,-,-,-,-,-,-,31.311,29.299,31.311,29.299,,,,,,,31311.0,29299.0,31311.0,29299.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,-,-,25.967,43.413,102.453,148.348,1.066.465,841.765,1.194.885,1.033.526,,,25967.0,43413.0,102453.0,148348.0,1066465.0,841765.0,1194885.0,1033526.0
Kết quả kinh doanh trước chi phí dự phòng,Kết quả kinh doanh trước chi phí dự phòng,Kết quả kinh doanh trước chi phí dự phòng,1.951.359,1.682.372,48.396,105.551,189.331,192.877,(1.097.776),(871.064),1.091.310,1.109.736,1951359.0,1682372.0,48396.0,105551.0,189331.0,192877.0,-1097776.0,-871064.0,1091310.0,1109736.0
Chi phí/(Hoàn nhập) dự phòng rủi ro,Chi phí/(Hoàn nhập) dự phòng rủi ro,Chi phí/(Hoàn nhập) dự phòng rủi ro,154.901,274.412,7.125,(4.749),-,-,-,-,162.026,269.663,154901.0,274412.0,7125.0,-4749.0,,,,,162026.0,269663.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,1.796.458,1.407.960,41.271,110.300,189.331,192.877,(1.097.776),(871.064),929.284,840.073,1796458.0,1407960.0,41271.0,110300.0,189331.0,192877.0,-1097776.0,-871064.0,929284.0,840073.0
