row_label_raw,row_label_full,Chỉ tiêu > Số dư đầu năm > Tăng trong năm > Tăng vốn trong năm (i) > Lợi nhuận tăng trong năm Trích > bổ sung các quỹ từ lợi nhuận năm trước (ii) > Giảm trong năm,Vốn góp/Vốn điều lệ > Triệu VND > 5.500.000 > 1.000.000 > -,Thặng dư vốn cổ phần > Triệu VND > 7.398 > -,Quỹ Đầu tư phát triển > Triệu VND > 564 > -,Quỹ Dự phòng tài chính > Triệu VND > 269.758 > 67.713 > - > 67.713 > -,Quỹ dự trữ bổ sung vốn điều lệ > Triệu VND > 129.693 > 33.856 > - > 33.856 > (15.075),Lợi nhuận sau thuế > Triệu VND > 1.168.624 > 746.487 > - > 746.487 > - > (1.103.422),Cộng > Triệu VND > 7.076.037 > 1.848.055 > 1.000.000 > 746.487 > 101.569 > (1.118.497),numeric__Vốn góp/Vốn điều lệ > Triệu VND > 5.500.000 > 1.000.000 > -,numeric__Thặng dư vốn cổ phần > Triệu VND > 7.398 > -,numeric__Quỹ Đầu tư phát triển > Triệu VND > 564 > -,numeric__Quỹ Dự phòng tài chính > Triệu VND > 269.758 > 67.713 > - > 67.713 > -,numeric__Quỹ dự trữ bổ sung vốn điều lệ > Triệu VND > 129.693 > 33.856 > - > 33.856 > (15.075),numeric__Lợi nhuận sau thuế > Triệu VND > 1.168.624 > 746.487 > - > 746.487 > - > (1.103.422),numeric__Cộng > Triệu VND > 7.076.037 > 1.848.055 > 1.000.000 > 746.487 > 101.569 > (1.118.497)
Sử dụng trong kỳ,Sử dụng trong kỳ,Sử dụng trong kỳ,-,-,-,-,(15.075),-,(15.075),,,,,-15075.0,,-15075.0
Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),-,-,-,-,-,(118.497),(118.497),,,,,,-118497.0,-118497.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,(984.925),(984.925),,,,,,-984925.0,-984925.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,6.500.000,7.398,564,337.471,148.474,811.689,7.805.595,6500000.0,7398.0,564.0,337471.0,148474.0,811689.0,7805595.0
