row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Năm nay/Cuối năm,Năm trước/ Đầu năm,Năm nay/Cuối năm,Năm trước/ Đầu năm,Năm nay/Cuối năm,Năm trước/ Đầu năm,Năm nay/Cuối năm,Năm trước/ Đầu năm,Năm nay/Cuối năm,Năm trước/ Đầu năm,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
III. Tài sản (*),III. Tài sản (*),III. Tài sản (*),105.071.238,94.544.881,534.160,559.823,57.622,131.073,3.358.491,2.811.085,109.021.511,98.046.862,105071238.0,94544881.0,534160.0,559823.0,57622.0,131073.0,3358491.0,2811085.0,109021511.0,98046862.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,-,-,-,-,-,-,568.389,460.262,568.389,460.262,,,,,,,568389.0,460262.0,568389.0,460262.0
2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,-,-,-,-,-,-,495.075,512.340,495.075,512.340,,,,,,,495075.0,512340.0,495075.0,512340.0
3. Tiền gửi và cho vay các TCTD khác,3. Tiền gửi và cho vay các TCTD khác,3. Tiền gửi và cho vay các TCTD khác,11.070.528,9.766.116,-,-,-,-,1.450.028,1.060.118,12.520.556,10.826.234,11070528.0,9766116.0,,,,,1450028.0,1060118.0,12520556.0,10826234.0
4. Chứng khoán kinh doanh,4. Chứng khoán kinh doanh,4. Chứng khoán kinh doanh,3.000.000,1.970.000,136.500,129.151,-,-,-,-,3.136.500,2.099.151,3000000.0,1970000.0,136500.0,129151.0,,,,,3136500.0,2099151.0
5. Các công cụ tài chínhphái sinh và các tài sản tài chính khác,5. Các công cụ tài chínhphái sinh và các tài sản tài chính khác,5. Các công cụ tài chínhphái sinh và các tài sản tài chính khác,-,-,-,-,27.641,82.891,-,-,27.641,82.891,,,,,27641.0,82891.0,,,27641.0,82891.0
6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,72.933.312,63.979.415,-,-,-,-,-,-,72.933.312,63.979.415,72933312.0,63979415.0,,,,,,,72933312.0,63979415.0
7. Chứng khoán đầu tư,7. Chứng khoán đầu tư,7. Chứng khoán đầu tư,15.109.584,15.985.985,-,-,-,-,-,-,15.109.584,15.985.985,15109584.0,15985985.0,,,,,,,15109584.0,15985985.0
"8. Góp vốn, đầu tư dài hạn","8. Góp vốn, đầu tư dài hạn","8. Góp vốn, đầu tư dài hạn",-,-,397.660,430.672,-,-,-,-,397.660,430.672,,,397660.0,430672.0,,,,,397660.0,430672.0
9. Tài sản cổ định,9. Tài sản cổ định,9. Tài sản cổ định,-,-,-,-,-,-,665.955,654.671,665.955,654.671,,,,,,,665955.0,654671.0,665955.0,654671.0
10. Tài sản Có khác,10. Tài sản Có khác,10. Tài sản Có khác,2.957.814,2.843.365,-,-,29.981,48.182,179.044,123.694,3.166.839,3.015.241,2957814.0,2843365.0,,,29981.0,48182.0,179044.0,123694.0,3166839.0,3015241.0
