row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2019 > Triệu VND,31/12/2018 > Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2019 > Triệu VND,numeric__31/12/2018 > Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",3,568.389,460.262,,3.0,568389.0,460262.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,4,495.075,512.340,,4.0,495075.0,512340.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,5,12.520.556,10.826.234,,5.0,12520556.0,10826234.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,12.062.775,10.449.234,,,12062775.0,10449234.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,457.781,377.000,,,457781.0,377000.0
IV,A > IV,IV,Chứng khoán kinh doanh,6,3.136.500,2.099.151,,6.0,3136500.0,2099151.0
1,A > 1,1,Chứng khoán kinh doanh,,3.136.500,2.099.151,,,3136500.0,2099151.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính,7,27.641,82.891,,7.0,27641.0,82891.0
VI,A > VI,VI,Cho vay khách hàng,,72.278.567,63.385.736,,,72278567.0,63385736.0
1,A > 1,1,Cho vay khách hàng,8,72.933.312,63.979.415,,8.0,72933312.0,63979415.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9,(654.745),(593.679),,9.0,-654745.0,-593679.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,10,14.729.864,15.695.965,,10.0,14729864.0,15695965.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,14.636.506,15.498.630,,,14636506.0,15498630.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,473.078,487.355,,,473078.0,487355.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(379.720),(290.020),,,-379720.0,-290020.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",11,386.736,382.586,,11.0,386736.0,382586.0
1,A > 1,1,Đầu tư vào công ty con,,127.000,127.000,,,127000.0,127000.0
4,A > 4,4,Đầu tư dài hạn khác,,270.660,303.672,,,270660.0,303672.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(10.924),(48.086),,,-10924.0,-48086.0
X,A > X,X,Tài sản cố định,,665.955,654.671,,,665955.0,654671.0
1.,A > 1.,1.,Tài sản cố định hữu hình,12,130.569,115.770,,12.0,130569.0,115770.0
a,A > a,a,Nguyên giá TSCĐ,,338.733,299.901,,,338733.0,299901.0
b,A > b,b,Hao mòn TSCĐ,,(208.164),(184.131),,,-208164.0,-184131.0
3.,A > 3.,3.,Tài sản cố định vô hình,13,535.386,538.901,,13.0,535386.0,538901.0
a,A > a,a,Nguyên giá TSCĐ,,612.955,609.193,,,612955.0,609193.0
b,A > b,b,Hao mòn TSCĐ,,(77.569),(70.292),,,-77569.0,-70292.0
XII,A > XII,XII,Tài sản Có khác,14,3.166.839,3.015.241,,14.0,3166839.0,3015241.0
1,A > 1,1,Các khoản phải thu,,139.260,88.312,,,139260.0,88312.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,2.987.795,2.891.547,,,2987795.0,2891547.0
4,A > 4,4,Tài sản Có khác,,39.784,35.382,,,39784.0,35382.0
,,,TỔNG TÀI SẢN CÓ,,107.976.122,97.115.077,,,107976122.0,97115077.0
