row_label_raw,row_label_full,Chỉ tiêu,Chỉ tiêu_1,Quá hạn > Triệu VND,Không chịu lãi > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Dưới 01 tháng > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Từ 01 đến 03 tháng > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Từ trên 03 đến 06 tháng > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Từ trên 06 đến 12 tháng > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Từ trên 01 đến 05 năm > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Trên 05 năm > Triệu VND,Tổng > Triệu VND,numeric__Chỉ tiêu_1,numeric__Quá hạn > Triệu VND,numeric__Không chịu lãi > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Dưới 01 tháng > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ 01 đến 03 tháng > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ trên 03 đến 06 tháng > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ trên 06 đến 12 tháng > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ trên 01 đến 05 năm > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Trên 05 năm > Triệu VND,numeric__Tổng > Triệu VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,,
I,TÀI SẢN > I,I,"Tiền mặt, vàng bạc, đá quý",-,568.389,-,-,-,-,-,-,568.389,,,568389.0,,,,,,,568389.0
II,TÀI SẢN > II,II,Tiền gửi tại NHNN,-,-,495.075,-,-,-,-,-,495.075,,,,495075.0,,,,,,495075.0
III,TÀI SẢN > III,III,"Tiền, vàng gửi và cho vay các TCTD khác (*)",-,-,5.062.774,6.000.000,1.000.000,-,-,457.781,12.520.555,,,,5062774.0,6000000.0,1000000.0,,,457781.0,12520555.0
IV,TÀI SẢN > IV,IV,Chứng khoán kinh doanh (*),-,-,136.500,-,-,-,3.000.000,-,3.136.500,,,,136500.0,,,,3000000.0,,3136500.0
V,TÀI SẢN > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,27.641,-,-,-,-,-,27.641,,,,27641.0,,,,,,27641.0
VI,TÀI SẢN > VI,VI,Cho vay khách hàng (*),548.051,-,4.391.815,3.765.995,10.670.318,12.007.110,13.876.857,27.673.166,72.933.312,,548051.0,,4391815.0,3765995.0,10670318.0,12007110.0,13876857.0,27673166.0,72933312.0
VII,TÀI SẢN > VII,VII,Chứng khoán đầu tư (*),-,473.079,-,-,-,-,10.086.868,4.549.637,15.109.584,,,473079.0,,,,,10086868.0,4549637.0,15109584.0
VIII,TÀI SẢN > VIII,VIII,"Góp vốn, đầu tư dài hạn (*)",-,397.660,-,-,-,-,-,-,397.660,,,397660.0,,,,,,,397660.0
IX,TÀI SẢN > IX,IX,Tài sản cố định,-,665.955,-,-,-,-,-,-,665.955,,,665955.0,,,,,,,665955.0
X,TÀI SẢN > X,X,Tài sản có khác (*),-,3.166.839,-,-,-,-,-,-,3.166.839,,,3166839.0,,,,,,,3166839.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,Tổng tài sản,548.051,5.271.922,10.113.805,9.765.995,11.670.318,12.007.110,26.963.725,32.680.584,109.021.510,,548051.0,5271922.0,10113805.0,9765995.0,11670318.0,12007110.0,26963725.0,32680584.0,109021510.0
