row_label_raw,row_label_full,Kỳ hạn,Mệnh giá,Chiết khấu,Phụ trội,Giá trị thuần,numeric__Mệnh giá,numeric__Chiết khấu,numeric__Phụ trội,numeric__Giá trị thuần
Kỳ hạn,Kỳ hạn,Kỳ hạn,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Từ 12 tháng đến 05 năm,Kỳ hạn > Từ 12 tháng đến 05 năm,Từ 12 tháng đến 05 năm,5.184.254,-,-,5.184.254,5184254.0,,,5184254.0
Từ 05 năm trở lên,Kỳ hạn > Từ 05 năm trở lên,Từ 05 năm trở lên,950.000,-,-,950.000,950000.0,,,950000.0
,,,6.134.254,-,-,6.134.254,6134254.0,,,6134254.0
Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,,,,
Kỳ hạn,Kỳ hạn,Kỳ hạn,Mệnh giá,Chiết khấu,Phụ trội,Giá trị thuần,,,,
Kỳ hạn,Kỳ hạn,Kỳ hạn,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Từ 12 tháng đến 05 năm,Kỳ hạn > Từ 12 tháng đến 05 năm,Từ 12 tháng đến 05 năm,383.848,-,-,383.848,383848.0,,,383848.0
Từ 05 năm trở lên,Kỳ hạn > Từ 05 năm trở lên,Từ 05 năm trở lên,950.000,-,-,950.000,950000.0,,,950000.0
,,,1.333.848,-,-,1.333.848,1333848.0,,,1333848.0
