row_label_raw,row_label_full,col_0,Tỷ lệ,Số tiền,numeric__Tỷ lệ,numeric__Số tiền
,,,%,Triệu VND,,
Lợi nhuận sau thuế năm 2018,Lợi nhuận sau thuế năm 2018,Lợi nhuận sau thuế năm 2018,,677.128,,677128.0
Trích các Quỹ,Trích các Quỹ,Trích các Quỹ,"16,00",108.341,16.0,108341.0
- Quỹ dự trữ bổ sung vốn điều lệ,- Quỹ dự trữ bổ sung vốn điều lệ,- Quỹ dự trữ bổ sung vốn điều lệ,"5,00",33.856,5.0,33856.0
- Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,"10,00",67.713,10.0,67713.0
- Quỹ phúc lợi,- Quỹ phúc lợi,- Quỹ phúc lợi,"0,50",3.386,0.5,3386.0
- Quỹ khen thưởng,- Quỹ khen thưởng,- Quỹ khen thưởng,"0,50",3.386,0.5,3386.0
Thù lao HĐQT và BKS,Thù lao HĐQT và BKS,Thù lao HĐQT và BKS,"1,50",10.157,1.5,10157.0
Chia cổ tức bằng cổ phiếu cho cổ đông (10% vốn điều lệ),Chia cổ tức bằng cổ phiếu cho cổ đông (10% vốn điều lệ),Chia cổ tức bằng cổ phiếu cho cổ đông (10% vốn điều lệ),"81,23",550.000,81.23,550000.0
Lợi nhuận để lại,Lợi nhuận để lại,Lợi nhuận để lại,,8.630,,8630.0
