row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,630.797.657.951,3.765.052.382.170,248.914.885.444,15.400.373.671,725.753.480,4.660.891.052.716,630797657951.0,3765052382170.0,248914885444.0,15400373671.0,725753480.0,4660891052716.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,10.139.519.879,723.000.000,-,-,10.862.519.879,,10139519879.0,723000000.0,,,10862519879.0
Chuyển từ chi phí xây dựng cơbản đồ dang (Thuyết minh 11),Nguyên giá > Chuyển từ chi phí xây dựng cơbản đồ dang (Thuyết minh 11),Chuyển từ chi phí xây dựng cơbản đồ dang (Thuyết minh 11),20.621.095.228,48.367.112.780,4.169.220.000,120.904.000,-,73.278.332.008,20621095228.0,48367112780.0,4169220000.0,120904000.0,,73278332008.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,651.418.753.179,3.823.559.014.829,253.807.105.444,15.521.277.671,725.753.480,4.745.031.904.603,651418753179.0,3823559014829.0,253807105444.0,15521277671.0,725753480.0,4745031904603.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,326.305.372.201,2.127.249.218.533,120.679.185.274,9.303.488.878,503.289.271,2.584.040.554.157,326305372201.0,2127249218533.0,120679185274.0,9303488878.0,503289271.0,2584040554157.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,42.721.045.771,278.791.565.712,17.590.016.931,1.299.888.427,7.456.901,340.409.973.742,42721045771.0,278791565712.0,17590016931.0,1299888427.0,7456901.0,340409973742.0
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,369.026.417.972,2.406.040.784.245,138.269.202.205,10.603.377.305,510.746.172,2.924.450.527.899,369026417972.0,2406040784245.0,138269202205.0,10603377305.0,510746172.0,2924450527899.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,304.492.285.750,1.637.803.163.637,128.235.700.170,6.096.884.793,222.464.209,2.076.850.498.559,304492285750.0,1637803163637.0,128235700170.0,6096884793.0,222464209.0,2076850498559.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,282.392.335.207,1.417.518.230.584,115.537.903.239,4.917.900.366,215.007.308,1.820.581.376.704,282392335207.0,1417518230584.0,115537903239.0,4917900366.0,215007308.0,1820581376704.0
