row_label_raw,row_label_full,(a) Ngắn hạn,(a) Ngắn hạn_1,(a) Ngắn hạn_2,numeric__(a) Ngắn hạn_1,numeric__(a) Ngắn hạn_2
,,,2023VND,2022VND,,
Bên thứ ba,Bên thứ ba,Bên thứ ba,,,,
Dự thu lãi tiền gửi và trái phiếu,Bên thứ ba > Dự thu lãi tiền gửi và trái phiếu,Dự thu lãi tiền gửi và trái phiếu,6.571.776.759,5.375.938.291,6571776759.0,5375938291.0
Tạm ứng,Bên thứ ba > Tạm ứng,Tạm ứng,709.756.774,471.290.980,709756774.0,471290980.0
"Ký quỹ, ký cược","Bên thứ ba > Ký quỹ, ký cược","Ký quỹ, ký cược",2.789.662.017,471.100.000,2789662017.0,471100000.0
Khác,Bên thứ ba > Khác,Khác,2.077.023.697,5.184.838.016,2077023697.0,5184838016.0
Bên liên quan (Thuyết minh 31(b)),Bên thứ ba > Bên liên quan (Thuyết minh 31(b)),Bên liên quan (Thuyết minh 31(b)),8.015.970.096,16.960.813.478,8015970096.0,16960813478.0
,,,20.164.189.343,28.463.980.765,20164189343.0,28463980765.0
