row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm vi tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm vi tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,213.210.269.808,9.905.776.000,223.116.045.808,213210269808.0,9905776000.0,223116045808.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),60.762.090.000,-,60.762.090.000,60762090000.0,,60762090000.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,273.972.359.808,9.905.776.000,283.878.135.808,273972359808.0,9905776000.0,283878135808.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,35.486.026.782,3.935.112.889,39.421.139.671,35486026782.0,3935112889.0,39421139671.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,7.154.589.990,1.492.665.778,8.647.255.768,7154589990.0,1492665778.0,8647255768.0
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,42.640.616.772,5.427.778.667,48.068.395.439,42640616772.0,5427778667.0,48068395439.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,177.724.243.026,5.970.663.111,183.694.906.137,177724243026.0,5970663111.0,183694906137.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,231.331.743.036,4.477.997.333,235.809.740.369,231331743036.0,4477997333.0,235809740369.0
