row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,46.527.318.433,44.104.965.507,36.412.397.949,226.771.655.795,2.895.316.905,356.711.654.589,46527318433.0,44104965507.0,36412397949.0,226771655795.0,2895316905.0,356711654589.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,16.364.339.000,4.423.460.000,25.416.222.182,-,46.204.021.182,,16364339000.0,4423460000.0,25416222182.0,,46204021182.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(975.000.000),-,-,(975.000.000),,,-975000000.0,,,-975000000.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(40.280.238.433),-,-,-,-,(40.280.238.433),-40280238433.0,,,,,-40280238433.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,6.247.080.000,60.469.304.507,39.860.857.949,252.187.877.977,2.895.316.905,361.660.437.338,6247080000.0,60469304507.0,39860857949.0,252187877977.0,2895316905.0,361660437338.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,34.084.612.375,35.634.279.137,21.342.113.959,182.332.574.783,844.876.233,274.238.456.487,34084612375.0,35634279137.0,21342113959.0,182332574783.0,844876233.0,274238456487.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,545.251.893,4.986.055.065,3.831.304.647,19.407.899.968,789.937.335,29.560.448.908,545251893.0,4986055065.0,3831304647.0,19407899968.0,789937335.0,29560448908.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(975.000.000),-,-,(975.000.000),,,-975000000.0,,,-975000000.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(28.978.276.046),-,-,-,-,(28.978.276.046),-28978276046.0,,,,,-28978276046.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.651.588.222,40.620.334.202,24.198.418.606,201.740.474.751,1.634.813.568,273.845.629.349,5651588222.0,40620334202.0,24198418606.0,201740474751.0,1634813568.0,273845629349.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,12.442.706.058,8.470.686.370,15.070.283.990,44.439.081.012,2.050.440.672,82.473.198.102,12442706058.0,8470686370.0,15070283990.0,44439081012.0,2050440672.0,82473198102.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,595.491.778,19.848.970.305,15.662.439.343,50.447.403.226,1.260.503.337,87.814.807.989,595491778.0,19848970305.0,15662439343.0,50447403226.0,1260503337.0,87814807989.0
