row_label_raw,row_label_full,Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,31/12/2021 > Giá gốc VND > Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,31/12/2021 > Giá trị hợp lý VND > Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,1/1/2021 > Giá gốc VND > Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,1/1/2021 > Giá trị hợp lý VND > Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,numeric__31/12/2021 > Giá gốc VND > Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,numeric__31/12/2021 > Giá trị hợp lý VND > Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,numeric__1/1/2021 > Giá gốc VND > Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,numeric__1/1/2021 > Giá trị hợp lý VND > Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,9.135.000.000.000,9.135.000.000.000,6.777.000.000.000,6.777.000.000.000,9135000000000.0,9135000000000.0,6777000000000.0,6777000000000.0
Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,,,,
Trái phiếu,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn > Trái phiếu,Trái phiếu,2.000.000.000.000,(*),1.000.000.000.000,(*),2000000000000.0,,1000000000000.0,
