row_label_raw,row_label_full,col_0,Lợi thế kinh doanh liên quan đến cổ phần hóa VND,Chi phí thuê văn phòng VND,Chi phí thuê hạ tầng máy chủ VND,Chi phí sửa chữa văn phòng VND,Chi phí trả trước khác VND,Tổng cộng VND,numeric__Lợi thế kinh doanh liên quan đến cổ phần hóa VND,numeric__Chi phí thuê văn phòng VND,numeric__Chi phí thuê hạ tầng máy chủ VND,numeric__Chi phí sửa chữa văn phòng VND,numeric__Chi phí trả trước khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,54.214.033.917,26.763.808.155,26.460.000.000,11.465.806.682,3.102.922.978,122.006.571.732,54214033917.0,26763808155.0,26460000000.0,11465806682.0,3102922978.0,122006571732.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,-,-,8.773.546.492,8.773.546.492,,,,,8773546492.0,8773546492.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(54.214.033.917),(21.411.046.524),(7.560.000.000),(7.410.762.447),(4.595.865.672),(95.191.708.560),-54214033917.0,-21411046524.0,-7560000000.0,-7410762447.0,-4595865672.0,-95191708560.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,5.352.761.631,18.900.000.000,4.055.044.235,7.280.603.798,35.588.409.664,,5352761631.0,18900000000.0,4055044235.0,7280603798.0,35588409664.0
