row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2021VND,1/1/2021VND,,
Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,,
Công ty TNHH MTV Petrolimex Singapore,Công ty con cấp 1 > Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,1.351.708.928.947,402.900.898.355,1351708928947.0,402900898355.0
Tổng Công ty Vận tải thủy Petrolimex,Công ty con cấp 1 > Tổng Công ty Vận tải thủy Petrolimex,Tổng Công ty Vận tải thủy Petrolimex,35.072.233.481,36.899.192.671,35072233481.0,36899192671.0
Công ty TNHH Liên doanh Kho Ngoại quan Xăng dầu Vân Phong,Công ty con cấp 1 > Công ty TNHH Liên doanh Kho Ngoại quan Xăng dầu Vân Phong,Công ty TNHH Liên doanh Kho Ngoại quan Xăng dầu Vân Phong,-,15.068.255.883,,15068255883.0
Công ty con cấp 2 và cấp 3,Công ty con cấp 2 và cấp 3,Công ty con cấp 2 và cấp 3,Công ty con cấp 2 và cấp 3,Công ty con cấp 2 và cấp 3,,
Công ty Cổ phần Tín học Viễn thông Petrolimex,Công ty con cấp 2 và cấp 3 > Công ty Cổ phần Tín học Viễn thông Petrolimex,Công ty Cổ phần Tín học Viễn thông Petrolimex,20.691.410.736,10.336.669.188,20691410736.0,10336669188.0
Công ty Cổ phần Vận tải Xăng dầu Vitaco,Công ty con cấp 2 và cấp 3 > Công ty Cổ phần Vận tải Xăng dầu Vitaco,Công ty Cổ phần Vận tải Xăng dầu Vitaco,19.097.362.492,7.775.449.200,19097362492.0,7775449200.0
Công ty TNHH MTV Vitaco Sài Gòn,Công ty con cấp 2 và cấp 3 > Công ty TNHH MTV Vitaco Sài Gòn,Công ty TNHH MTV Vitaco Sài Gòn,2.593.651.151,12.145.505.068,2593651151.0,12145505068.0
Công ty Cổ phần Vận tải Xăng dầu Đường thủy Petrolimex,Công ty con cấp 2 và cấp 3 > Công ty Cổ phần Vận tải Xăng dầu Đường thủy Petrolimex,Công ty Cổ phần Vận tải Xăng dầu Đường thủy Petrolimex,18.170.414.862,4.619.352.416,18170414862.0,4619352416.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Công ty liên kết > Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,31.101.204.054,9.773.439.186,31101204054.0,9773439186.0
Ngân hàng TMCP Xăng dầu Petrolimex,Công ty liên kết > Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,12.489.670.617,11.754.847.024,12489670617.0,11754847024.0
,,,1.490.924.876.340,511.273.608.991,1490924876340.0,511273608991.0
