row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Bản quyền phần mềm VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Bản quyền phần mềm VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,219.338.898.318,327.368.502.942,5.860.531.000,3.555.000.000,556.122.932.260,219338898318.0,327368502942.0,5860531000.0,3555000000.0,556122932260.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,13.921.939.800,-,-,13.921.939.800,,13921939800.0,,,13921939800.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,219.338.898.318,341.290.442.742,5.860.531.000,3.555.000.000,570.044.872.060,219338898318.0,341290442742.0,5860531000.0,3555000000.0,570044872060.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,26.477.934.013,285.403.066.048,3.921.506.364,3.555.000.000,319.357.506.425,26477934013.0,285403066048.0,3921506364.0,3555000000.0,319357506425.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.966.580.864,6.445.124.569,586.053.100,-,10.997.758.533,3966580864.0,6445124569.0,586053100.0,,10997758533.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,30.444.514.877,291.848.190.617,4.507.559.464,3.555.000.000,330.355.264.958,30444514877.0,291848190617.0,4507559464.0,3555000000.0,330355264958.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,192.860.964.305,41.965.436.894,1.939.024.636,-,236.765.425.835,192860964305.0,41965436894.0,1939024636.0,,236765425835.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,188.894.383.441,49.442.252.125,1.352.971.536,-,239.689.607.102,188894383441.0,49442252125.0,1352971536.0,,239689607102.0
