row_label_raw,row_label_full,Ông Đăng Quang Tuấn,Trường ban,numeric__Trường ban
Bà Đình Thị Kiều Trang,Bà Đình Thị Kiều Trang,Bà Đình Thị Kiều Trang,Kiểm soát viên (từ ngày 29/3/2022),
Ông Norimasa Kuroda,Ông Norimasa Kuroda,Ông Norimasa Kuroda,Kiểm soát viên (từ ngày 29/3/2022),
Ông Nguyễn Vinh Thanh,Ông Nguyễn Vinh Thanh,Ông Nguyễn Vinh Thanh,Kiểm soát viên,
Bà Hoàng Mai Ninh,Bà Hoàng Mai Ninh,Bà Hoàng Mai Ninh,Kiểm soát viên,
Ông Tổng Văn Hải,Ông Tổng Văn Hải,Ông Tổng Văn Hải,Kiểm soát viên (đến ngày 29/3/2022),
