row_label_raw,row_label_full,col_0,1/1/2025VND,Số phát sinh trong năm VND,Số đã nộp/được hoàn trong năm VND,Bù trừ với thuế GTGT đầu vào VND,31/12/2025VND,numeric__1/1/2025VND,numeric__Số phát sinh trong năm VND,numeric__Số đã nộp/được hoàn trong năm VND,numeric__Bù trừ với thuế GTGT đầu vào VND,numeric__31/12/2025VND
+ Thuế thu nhập cá nhân,+ Thuế thu nhập cá nhân,+ Thuế thu nhập cá nhân,559.083.684,3.937.090.876,(4.213.048.283),-,283.126.277,559083684.0,3937090876.0,-4213048283.0,,283126277.0
Văn phòng,Văn phòng,Văn phòng,535.494.934,3.343.376.428,(3.697.282.686),-,181.588.676,535494934.0,3343376428.0,-3697282686.0,,181588676.0
Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,10.233.634,114.466.264,(113.430.026),-,11.269.872,10233634.0,114466264.0,-113430026.0,,11269872.0
Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,3.801.722,63.111.679,(57.696.135),-,9.217.266,3801722.0,63111679.0,-57696135.0,,9217266.0
Trung tâm Phát triển Sản phẩm và Kinh doanh Vinatex,Trung tâm Phát triển Sản phẩm và Kinh doanh Vinatex,Trung tâm Phát triển Sản phẩm và Kinh doanh Vinatex,9.553.394,416.136.505,(344.639.436),-,81.050.463,9553394.0,416136505.0,-344639436.0,,81050463.0
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,-,3.319.305.013,(3.319.305.013),-,-,,3319305013.0,-3319305013.0,,
"+ Tiền thuê đất, thuế đất","+ Tiền thuê đất, thuế đất","+ Tiền thuê đất, thuế đất",-,3.278.389.023,(3.278.389.023),-,-,,3278389023.0,-3278389023.0,,
Văn phòng,Văn phòng,Văn phòng,-,1.528.437.580,(1.528.437.580),-,-,,1528437580.0,-1528437580.0,,
Trung tâm Phát triển Sản phẩm và Kinh doanh Vinatex,Trung tâm Phát triển Sản phẩm và Kinh doanh Vinatex,Trung tâm Phát triển Sản phẩm và Kinh doanh Vinatex,-,1.749.951.443,(1.749.951.443),-,-,,1749951443.0,-1749951443.0,,
+ Các khoản khác,+ Các khoản khác,+ Các khoản khác,-,40.915.990,(40.915.990),-,-,,40915990.0,-40915990.0,,
Văn phòng,Văn phòng,Văn phòng,-,34.179.224,(34.179.224),-,-,,34179224.0,-34179224.0,,
Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,2.734.271,(2.734.271),-,-,,2734271.0,-2734271.0,,
Trung tâm Phát triển Sản phẩm và Kinh doanh Vinatex,Trung tâm Phát triển Sản phẩm và Kinh doanh Vinatex,Trung tâm Phát triển Sản phẩm và Kinh doanh Vinatex,-,4.002.495,(4.002.495),-,-,,4002495.0,-4002495.0,,
,,,1.751.265.021,101.138.142.648,(32.741.974.401),(63.002.829.587),7.144.603.681,1751265021.0,101138142648.0,-32741974401.0,-63002829587.0,7144603681.0
