row_label_raw,row_label_full,Tài sản cố định hữu hình,Tài sản cố định hữu hình_1,Tài sản cố định hữu hình_2,Tài sản cố định hữu hình_3,Tài sản cố định hữu hình_4,Tài sản cố định hữu hình_5,numeric__Tài sản cố định hữu hình_1,numeric__Tài sản cố định hữu hình_2,numeric__Tài sản cố định hữu hình_3,numeric__Tài sản cố định hữu hình_4,numeric__Tài sản cố định hữu hình_5
,,,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tổng cộngVND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,496.419.014.819,1.109.322.457.298,44.151.471.549,49.732.881.340,1.699.625.825.006,496419014819.0,1109322457298.0,44151471549.0,49732881340.0,1699625825006.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,2.950.698.129,1.019.760.000,485.475.478,4.455.933.607,,2950698129.0,1019760000.0,485475478.0,4455933607.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,12.387.453.797,4.661.769.480,-,3.442.843.334,20.492.066.611,12387453797.0,4661769480.0,,3442843334.0,20492066611.0
Tài sản điều chuyển cho công ty con,Nguyên giá > Tài sản điều chuyển cho công ty con,Tài sản điều chuyển cho công ty con,-,(183.736.800),(814.997.273),-,(998.734.073),,-183736800.0,-814997273.0,,-998734073.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(6.389.254.110),3.570.435.318,(9.893.363),2.828.712.155,-,-6389254110.0,3570435318.0,-9893363.0,2828712155.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,502.417.214.506,1.120.321.623.425,44.346.340.913,56.489.912.307,1.723.575.091.151,502417214506.0,1120321623425.0,44346340913.0,56489912307.0,1723575091151.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,282.293.187.193,706.654.197.272,30.064.348.024,44.450.200.428,1.063.461.932.917,282293187193.0,706654197272.0,30064348024.0,44450200428.0,1063461932917.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,16.750.223.186,76.413.062.338,3.538.512.901,3.357.749.118,100.059.547.543,16750223186.0,76413062338.0,3538512901.0,3357749118.0,100059547543.0
Tài sản điều chuyển cho công ty con,Giá trị hao mòn lũy kế > Tài sản điều chuyển cho công ty con,Tài sản điều chuyển cho công ty con,-,(43.341.744),(814.997.273),-,(858.339.017),,-43341744.0,-814997273.0,,-858339017.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(355.851.362),229.630.543,156.958.005,(30.737.186),-,-355851362.0,229630543.0,156958005.0,-30737186.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,298.687.559.017,783.253.548.409,32.944.821.657,47.777.212.360,1.162.663.141.443,298687559017.0,783253548409.0,32944821657.0,47777212360.0,1162663141443.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,214.125.827.626,402.668.260.026,14.087.123.525,5.282.680.912,636.163.892.089,214125827626.0,402668260026.0,14087123525.0,5282680912.0,636163892089.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,203.729.655.489,337.068.075.016,11.401.519.256,8.712.699.947,560.911.949.708,203729655489.0,337068075016.0,11401519256.0,8712699947.0,560911949708.0
