row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Nguồn vốn đầu tư xây dựng cơ bản VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Nguồn vốn đầu tư xây dựng cơ bản VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,5.000.000.000.000,30.361.932.352,-,195.151.884.031,543.092.845.095,5.768.606.661.478,5000000000000.0,30361932352.0,,195151884031.0,543092845095.0,5768606661478.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,156.359.338.939,-,156.359.338.939,,,,156359338939.0,,156359338939.0
"Phân bổ vào quỹ khen thưởng,phúc lợi (Thuyết minh 21)","Phân bổ vào quỹ khen thưởng,phúc lợi (Thuyết minh 21)","Phân bổ vào quỹ khen thưởng,phúc lợi (Thuyết minh 21)",-,-,-,(19.400.000.000),-,(19.400.000.000),,,,-19400000000.0,,-19400000000.0
Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),-,-,-,(150.000.000.000),-,(150.000.000.000),,,,-150000000000.0,,-150000000000.0
Số dư tại ngày 1/1/2025,Số dư tại ngày 1/1/2025,Số dư tại ngày 1/1/2025,5.000.000.000.000,30.361.932.352,-,182.111.222.970,543.092.845.095,5.755.566.000.417,5000000000000.0,30361932352.0,,182111222970.0,543092845095.0,5755566000417.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,218.526.319.710,-,218.526.319.710,,,,218526319710.0,,218526319710.0
Phân bổ vào quỹ đầu tư phát triển(Thuyết minh 24),Phân bổ vào quỹ đầu tư phát triển(Thuyết minh 24),Phân bổ vào quỹ đầu tư phát triển(Thuyết minh 24),-,-,21.021.222.970,(21.021.222.970),-,-,,,21021222970.0,-21021222970.0,,
"Phân bổ vào quỹ khen thưởng,phúc lợi (Thuyết minh 21)","Phân bổ vào quỹ khen thưởng,phúc lợi (Thuyết minh 21)","Phân bổ vào quỹ khen thưởng,phúc lợi (Thuyết minh 21)",-,-,-,(11.090.000.000),-,(11.090.000.000),,,,-11090000000.0,,-11090000000.0
Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),-,-,-,(150.000.000.000),-,(150.000.000.000),,,,-150000000000.0,,-150000000000.0
Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,5.000.000.000.000,30.361.932.352,21.021.222.970,218.526.319.710,543.092.845.095,5.813.002.320.127,5000000000000.0,30361932352.0,21021222970.0,218526319710.0,543092845095.0,5813002320127.0
