row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Công cụvà dụng cụVND,"Chi phí sửa chữa,cải tạoVND",Chi phíkhácVND,Tổng cộngVND,numeric__Chi phí đấttrả trướcVND,numeric__Công cụvà dụng cụVND,"numeric__Chi phí sửa chữa,cải tạoVND",numeric__Chi phíkhácVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,32.977.437.709,3.894.062.973,469.664.230,1.074.435.422,38.415.600.334,32977437709.0,3894062973.0,469664230.0,1074435422.0,38415600334.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,5.061.759.087,1.099.593.485,1.885.372.529,8.046.725.101,,5061759087.0,1099593485.0,1885372529.0,8046725101.0
Chuyển từ xây dựng cơ bảnđở dang,Chuyển từ xây dựng cơ bảnđở dang,Chuyển từ xây dựng cơ bảnđở dang,-,3.087.646.444,23.890.127.233,-,26.977.773.677,,3087646444.0,23890127233.0,,26977773677.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(1.008.713.880),(4.643.471.283),(7.681.816.292),(1.188.389.496),(14.522.390.951),-1008713880.0,-4643471283.0,-7681816292.0,-1188389496.0,-14522390951.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,31.968.723.829,7.399.997.221,17.777.568.656,1.771.418.455,58.917.708.161,31968723829.0,7399997221.0,17777568656.0,1771418455.0,58917708161.0
