row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,78.833.849.210,3.071.624.301,81.905.473.511,78833849210.0,3071624301.0,81905473511.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,56.478.817,56.478.817,,56478817.0,56478817.0
Chuyển sang xây dựng cơ bản dở dang,Nguyên giá > Chuyển sang xây dựng cơ bản dở dang,Chuyển sang xây dựng cơ bản dở dang,(78.833.849.210),-,(78.833.849.210),-78833849210.0,,-78833849210.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,-,3.128.103.118,3.128.103.118,,3128103118.0,3128103118.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,24.753.747.712,2.763.275.002,27.517.022.714,24753747712.0,2763275002.0,27517022714.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.585.868.493,88.194.848,1.674.063.341,1585868493.0,88194848.0,1674063341.0
Chuyển sang xây dựng cơ bản dở dang,Giá trị hao mòn lũy kế > Chuyển sang xây dựng cơ bản dở dang,Chuyển sang xây dựng cơ bản dở dang,(26.339.616.205),-,(26.339.616.205),-26339616205.0,,-26339616205.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,2.851.469.850,2.851.469.850,,2851469850.0,2851469850.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,54.080.101.498,308.349.299,54.388.450.797,54080101498.0,308349299.0,54388450797.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,-,276.633.268,276.633.268,,276633268.0,276633268.0
