row_label_raw,row_label_full,Khoản mục,"Máy móc, thiết bị",Tổng cộng,"numeric__Máy móc, thiết bị",numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.866.940.741,1.866.940.741,1866940741.0,1866940741.0
- Thuê tài chính trong năm,Nguyên giá > - Thuê tài chính trong năm,- Thuê tài chính trong năm,1.234.508.417,1.234.508.417,1234508417.0,1234508417.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.101.449.158,3.101.449.158,3101449158.0,3101449158.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.169.876.673,1.169.876.673,1169876673.0,1169876673.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,956.439.818,956.439.818,956439818.0,956439818.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.126.316.491,2.126.316.491,2126316491.0,2126316491.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
- Tại ngày đầu năm,Giá trị còn lại > - Tại ngày đầu năm,- Tại ngày đầu năm,697.064.068,697.064.068,697064068.0,697064068.0
- Tại ngày cuối năm,Giá trị còn lại > - Tại ngày cuối năm,- Tại ngày cuối năm,975.132.667,975.132.667,975132667.0,975132667.0
