row_label_raw,row_label_full,"07. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",Năm 2024,Năm 2023,numeric__Năm 2024,numeric__Năm 2023
Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,9.587.015.699,10.376.086.105,9587015699.0,10376086105.0
Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,(978.210.455),(717.602.839),-978210455.0,-717602839.0
Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,23.626.926.575,10.433.576.407,23626926575.0,10433576407.0
Công ty Cổ phần Kinh doanh BOT Dương ĐT.741,Công ty Cổ phần Kinh doanh BOT Dương ĐT.741,Công ty Cổ phần Kinh doanh BOT Dương ĐT.741,6.759.945.225,9.545.645.219,6759945225.0,9545645219.0
Công ty Cổ phần Gỗ MDF VRG - Dongwha,Công ty Cổ phần Gỗ MDF VRG - Dongwha,Công ty Cổ phần Gỗ MDF VRG - Dongwha,74.958.925.609,(290.250.248.363),74958925609.0,-290250248363.0
Công ty Cổ phần Cao su Thánh phố Hồ Chí Minh,Công ty Cổ phần Cao su Thánh phố Hồ Chí Minh,Công ty Cổ phần Cao su Thánh phố Hồ Chí Minh,1.910.141.790,150.842.855,1910141790.0,150842855.0
Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,10.499.759.290,9.374.463.540,10499759290.0,9374463540.0
Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,353.007.700,338.416.338,353007700.0,338416338.0
Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,(36.411.538),506.386.395,-36411538.0,506386395.0
Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,(31.767.677.065),(39.861.476.136),-31767677065.0,-39861476136.0
Công ty Cổ phần Chế biến gỗ Cao su Chư Păng,Công ty Cổ phần Chế biến gỗ Cao su Chư Păng,Công ty Cổ phần Chế biến gỗ Cao su Chư Păng,966.683.116,87.350.054,966683116.0,87350054.0
Công ty Cổ phần Khu Công nghiệp Hồ Nai,Công ty Cổ phần Khu Công nghiệp Hồ Nai,Công ty Cổ phần Khu Công nghiệp Hồ Nai,(412.638),(42.875.464),-412638.0,-42875464.0
Công ty Cổ phần Cao su Dầu Tiếng Việt Lào,Công ty Cổ phần Cao su Dầu Tiếng Việt Lào,Công ty Cổ phần Cao su Dầu Tiếng Việt Lào,44.736.516.470,14.173.300.592,44736516470.0,14173300592.0
Công ty CP Phát triển Đô thị và KCN Cao su Việt Nam,Công ty CP Phát triển Đô thị và KCN Cao su Việt Nam,Công ty CP Phát triển Đô thị và KCN Cao su Việt Nam,21.268.937.058,67.636.479.691,21268937058.0,67636479691.0
,,,161.885.146.836,(208.249.655.606),161885146836.0,-208249655606.0
