row_label_raw,row_label_full,14. Investment properties,01/01/2024,Changes during the year > Increase,Changes during the year > Decrease,31/12/2024,numeric__01/01/2024,numeric__Changes during the year > Increase,numeric__Changes during the year > Decrease,numeric__31/12/2024
a. Investment property for lease,a. Investment property for lease,a. Investment property for lease,a. Investment property for lease,a. Investment property for lease,a. Investment property for lease,a. Investment property for lease,,,,
Original cost,Original cost,Original cost,"2,277,537,159,287",-,"4,404,067,147","2,273,133,092,140",,,,
- Land use rights,- Land use rights,- Land use rights,"242,026,264,360",,-,"242,026,264,360",,,,
- Infrastructure,- Infrastructure,- Infrastructure,"2,035,510,894,927",-,"4,404,067,147","2,031,106,827,780",,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,"933,514,913,911","77,683,521,304",-,"1,011,198,435,215",,,,
- Land use rights,- Land use rights,- Land use rights,"72,532,780,363",-,,"72,532,780,363",,,,
- Infrastructure,- Infrastructure,- Infrastructure,"860,982,133,548","77,683,521,304",,"938,665,654,852",,,,
Remaining value,Remaining value,Remaining value,"1,344,022,245,376",,,"1,261,934,656,925",,,,
- Land use rights,- Land use rights,- Land use rights,"169,493,483,997",,,"169,493,483,997",,,,
- Infrastructure,- Infrastructure,- Infrastructure,"1,174,528,761,379",,,"1,092,441,172,928",,,,
