row_label_raw,row_label_full,20.1. Chi phí phải trả ngắn hạn,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
- Lãi vay phải trả,- Lãi vay phải trả,- Lãi vay phải trả,110.210.497.243,83.438.173.613,110210497243.0,83438173613.0
- Trích trước tiền thuê đất,- Trích trước tiền thuê đất,- Trích trước tiền thuê đất,5.395.585.866,16.822.415.017,5395585866.0,16822415017.0
- Trích trước chi phí dịch vụ thuê ngoại,- Trích trước chi phí dịch vụ thuê ngoại,- Trích trước chi phí dịch vụ thuê ngoại,11.812.408.180,1.877.508.789,11812408180.0,1877508789.0
- Trích trước giá vốn khu công nghiệp và chi phí khác,- Trích trước giá vốn khu công nghiệp và chi phí khác,- Trích trước giá vốn khu công nghiệp và chi phí khác,316.542.503.119,282.256.105.477,316542503119.0,282256105477.0
Cộng,Cộng,Cộng,443.960.994.408,384.394.202.896,443960994408.0,384394202896.0
20.2. Chi phí phải trả dài hạn,20.2. Chi phí phải trả dài hạn,20.2. Chi phí phải trả dài hạn,31/12/2024,01/01/2024,,
- Trích trước tiền thuê đất,20.2. Chi phí phải trả dài hạn > - Trích trước tiền thuê đất,- Trích trước tiền thuê đất,97.925.099.263,-,97925099263.0,
- Chi phí khác,20.2. Chi phí phải trả dài hạn > - Chi phí khác,- Chi phí khác,341.063.833.899,332.639.595.932,341063833899.0,332639595932.0
Cộng,20.2. Chi phí phải trả dài hạn > Cộng,Cộng,438.988.933.162,332.639.595.932,438988933162.0,332639595932.0
21. Doanh thu chưa thực hiện,21. Doanh thu chưa thực hiện,21. Doanh thu chưa thực hiện,21. Doanh thu chưa thực hiện,21. Doanh thu chưa thực hiện,,
21.1. Doanh thu chưa thực hiện ngắn hạn,21.1. Doanh thu chưa thực hiện ngắn hạn,21.1. Doanh thu chưa thực hiện ngắn hạn,31/12/2024,01/01/2024,,
"- Doanh thu bán sản phẩm, hàng hóa, dịch vụ","21.1. Doanh thu chưa thực hiện ngắn hạn > - Doanh thu bán sản phẩm, hàng hóa, dịch vụ","- Doanh thu bán sản phẩm, hàng hóa, dịch vụ",38.445.845.288,39.183.658.618,38445845288.0,39183658618.0
"- Doanh thu cho thuê hạ tầng, khu dân cư","21.1. Doanh thu chưa thực hiện ngắn hạn > - Doanh thu cho thuê hạ tầng, khu dân cư","- Doanh thu cho thuê hạ tầng, khu dân cư",344.210.401.983,302.357.214.614,344210401983.0,302357214614.0
Cộng,21.1. Doanh thu chưa thực hiện ngắn hạn > Cộng,Cộng,382.656.247.271,341.540.873.232,382656247271.0,341540873232.0
21.2. Doanh thu chưa thực hiện dài hạn,21.2. Doanh thu chưa thực hiện dài hạn,21.2. Doanh thu chưa thực hiện dài hạn,31/12/2024,01/01/2024,,
"- Doanh thu bán sản phẩm, hàng hóa, dịch vụ","21.2. Doanh thu chưa thực hiện dài hạn > - Doanh thu bán sản phẩm, hàng hóa, dịch vụ","- Doanh thu bán sản phẩm, hàng hóa, dịch vụ",19.754.049.925,3.230.585.284,19754049925.0,3230585284.0
"- Doanh thu cho thuê hạ tầng, khu dân cư","21.2. Doanh thu chưa thực hiện dài hạn > - Doanh thu cho thuê hạ tầng, khu dân cư","- Doanh thu cho thuê hạ tầng, khu dân cư",9.075.640.110.066,8.944.245.194.914,9075640110066.0,8944245194914.0
Cộng,21.2. Doanh thu chưa thực hiện dài hạn > Cộng,Cộng,9.095.394.159.991,8.947.475.780.198,9095394159991.0,8947475780198.0
22. Phải trả khác,22. Phải trả khác,22. Phải trả khác,22. Phải trả khác,22. Phải trả khác,,
22.1. Phải trả ngắn hạn khác,22.1. Phải trả ngắn hạn khác,22.1. Phải trả ngắn hạn khác,31/12/2024,01/01/2024,,
- Tài sản thừa chờ giải quyết,22.1. Phải trả ngắn hạn khác > - Tài sản thừa chờ giải quyết,- Tài sản thừa chờ giải quyết,6.944.987.821,6.930.605.778,6944987821.0,6930605778.0
- Kinh phí công đoàn,22.1. Phải trả ngắn hạn khác > - Kinh phí công đoàn,- Kinh phí công đoàn,17.443.084.730,18.035.232.533,17443084730.0,18035232533.0
- Các khoản bảo hiểm bắt buộc,22.1. Phải trả ngắn hạn khác > - Các khoản bảo hiểm bắt buộc,- Các khoản bảo hiểm bắt buộc,15.064.290.214,19.721.161.601,15064290214.0,19721161601.0
- Phải trả về cổ phần hoá,22.1. Phải trả ngắn hạn khác > - Phải trả về cổ phần hoá,- Phải trả về cổ phần hoá,75.109.000.000,75.109.000.000,75109000000.0,75109000000.0
