row_label_raw,row_label_full,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_1,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_2,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_3,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_4,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_5,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_6,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_7,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_8,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_9,numeric__Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_1,numeric__Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_2,numeric__Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_3,numeric__Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_4,numeric__Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_5,numeric__Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_6,numeric__Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_7,numeric__Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_8,numeric__Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:_9
,,,Sản xuất và kinh doanh mũ cao su,Sản xuất và kinh doanh các sản phẫu từ cao su,Chế biến gỗ,"Xây dựng, bắt động sân, cơ sở hạ tầng","Dịch vụ du lịch, nhà hàng, khách sạn",Kinh doanh điện năng,Hoạt động kinh doanh khác,Điều chính và loại trừ,Tổng cộng,,,,,,,,,
Doanh thu tài chính,Doanh thu tài chính,Doanh thu tài chính,1.013.415.209.125,23.474.962.877,19.692.210.456,496.114.489.266,1.883.659.874,24.645.755.613,2.331.266.210.627,(2.953.284.733.855),957.207.763.983,1013415209125.0,23474962877.0,19692210456.0,496114489266.0,1883659874.0,24645755613.0,2331266210627.0,-2953284733855.0,957207763983.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,236.640.495.886,8.961.468.952,74.580.675.704,12.729.788.328,1.578.082,55.834.171.015,(177.222.082.073),253.472.347.027,464.998.442.921,236640495886.0,8961468952.0,74580675704.0,12729788328.0,1578082.0,55834171015.0,-177222082073.0,253472347027.0,464998442921.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,1.588.894.192.049,4.939.697.504,19.100.569.470,33.299.573.425,1.220.416.438,102.299.551,14.906.190.717,(284.245.595.888),1.378.217.343.266,1588894192049.0,4939697504.0,19100569470.0,33299573425.0,1220416438.0,102299551.0,14906190717.0,-284245595888.0,1378217343266.0
Chi phí khác,Chi phí khác,Chi phí khác,475.399.921.827,6.201.537.286,10.985.695.124,6.553.348.813,52.746.381,6.214.094.428,6.753.696.625,(575.208.854),511.585.831.630,475399921827.0,6201537286.0,10985695124.0,6553348813.0,52746381.0,6214094428.0,6753696625.0,-575208854.0,511585831630.0
Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,,,,,,,,,
Đầu tư tài chính ngắn hạn,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung: > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,2.388.814.849.261,337.675.000.000,198.482.171.094,6.889.269.659.001,21.912.005.566,400.000.000.000,3.716.200.110.695,-,13.952.353.795.617,2388814849261.0,337675000000.0,198482171094.0,6889269659001.0,21912005566.0,400000000000.0,3716200110695.0,,13952353795617.0
Phải thu về cho vay ngắn hạn,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung: > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,181.127.306.619,-,-,-,-,-,386.591.651.857,(559.670.709.476),8.048.249.000,181127306619.0,,,,,,386591651857.0,-559670709476.0,8048249000.0
Thuế GTGT được khấu trừ,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung: > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,506.060.974.645,21.935.399.855,10.899.495.304,1.902.123.323,370.342.561,449.534.918,24.917.844.035,-,566.535.714.641,506060974645.0,21935399855.0,10899495304.0,1902123323.0,370342561.0,449534918.0,24917844035.0,,566535714641.0
Thuế và các khoản khác phải thu Nhà nước,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung: > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,160.156.629.359,3.308.797.880,1.538.890.858,62.317.201.215,1.116.647.033,799.711.551,175.417.160.246,-,404.655.038.142,160156629359.0,3308797880.0,1538890858.0,62317201215.0,1116647033.0,799711551.0,175417160246.0,,404655038142.0
Phải thu về cho vay dài hạn,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung: > Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,63.727.386.806,-,-,-,-,-,750.153.846.190,(26.370.095.039),787.511.137.957,63727386806.0,,,,,,750153846190.0,-26370095039.0,787511137957.0
Dầu tư tài chính dài hạn,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung: > Dầu tư tài chính dài hạn,Dầu tư tài chính dài hạn,14.613.274.155.429,10.569.681.972,9.156.059.773,685.636.705.190,968.030.317,65.270.992.518,36.281.241.087.224,(48.978.523.803.303),2.687.592.909.120,14613274155429.0,10569681972.0,9156059773.0,685636705190.0,968030317.0,65270992518.0,36281241087224.0,-48978523803303.0,2687592909120.0
Tài sản thuế thu nhập hoãn lại,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung: > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,12.971.220.330,-,-,-,-,-,-,232.719.010.831,245.690.231.161,12971220330.0,,,,,,,232719010831.0,245690231161.0
Tổng cộng,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung: > Tổng cộng,Tổng cộng,17.926.132.522.449,373.488.879.707,220.076.617.029,7.639.125.688.729,24.367.025.477,466.520.238.987,41.334.521.700.247,(49.331.845.596.987),18.652.387.075.639,17926132522449.0,373488879707.0,220076617029.0,7639125688729.0,24367025477.0,466520238987.0,41334521700247.0,-49331845596987.0,18652387075639.0
Nợ phải trả của từng bộ phận không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phận không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phận không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phận không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phận không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phận không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phận không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phận không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phận không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phận không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phận không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phận không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,,,,,,,,,
