row_label_raw,row_label_full,No,Name,Registered office's address,Main activity,Economic Benefit Ratio,numeric__Name,numeric__Registered office's address,numeric__Main activity,numeric__Economic Benefit Ratio
83,83,83,C.R.C.K Rubber Development Company Limited,"Don Cam Pech Commune, San Dan District, Kampong Thom Province, Cambodia","Cultivation, care, exploitation, and processing of rubber latex.",100.00%,,,,100.0
84,84,84,Tan Binh Industrial Park Joint Stock Company,"Tan Binh Commune, Bac Tan Uyen District, Binh Duong Province","Investment in construction and business of industrial park infrastructure; real estate business, leasing offices, warehouses, houses, and terminals.",59.64%,,,,59.64
85,85,85,Khai Hoan VRG Joint Stock Company,"Cau Sat Hamlet, Lai Hung Commune, Ben Cat District, Binh Duong Province",Manufacturing medical gloves of all kinds.,51.04%,,,,51.04
86,86,86,Bolikhamxay Ha Tinh Rubber Company Limited,"Bolikhamxay Province, Lao People's Democratic Republic","Cultivation, care, exploitation, and processing of rubber latex.",100.00%,,,,100.0
87,87,87,Tay Ninh Siem Reap Rubber Development Company Limited,"Trapeang Prasat Commune, Trapeang Prasat District, Oddar Mean Cheay Province, Cambodia","Cultivation, care, exploitation, and processing of rubber latex.",60.00%,,,,60.0
88,88,88,VRG Oudomxay Single Member Limited Company,"Oudomxay Province, Lao People's Democratic Republic","Cultivation, care, exploitation, and processing of rubber latex.",100.00%,,,,100.0
89,89,89,VKETI Company Limited,"Kratie Province, Kingdom of Cambodia","Cultivation, care, exploitation, and processing of rubber latex.",100.00%,,,,100.0
90,90,90,Dau Tieng Lai Chau Rubber Joint Stock Company,"Group 2, Than Uyen Town, Than Uyen District, Lai Chau Province",Rubber tree cultivation; construction of all types of houses; mining of precious metal ores.,99.99%,,,,99.99
91,91,91,Ea H'leo BM Rubber Company Limited,"Ratanakiri Province, Cambodia","Cultivation, care, exploitation, and processing of rubber latex.",100.00%,,,,100.0
92,92,92,Phu Hoa Dak Lak Rubber Company Limited,"138 Hung Vuong, Ea Sup Town, Ea Sup District, Dak Lak Province","Cultivation, care, exploitation, and processing of rubber latex.",66.62%,,,,66.62
93,93,93,Muong Nhe Dien Bien Rubber Joint Stock Company,"Muong Nhe Hamlet, Muong Nhe Commune, Muong Nhe District, Dien Bien Province","Cultivation, care, exploitation, and processing of rubber latex.",100.00%,,,,100.0
94,94,94,Qua Van Rubber Single Member Limited Company,"Salavan Province, Lao People's Democratic Republic","Cultivation, care, exploitation, and processing of rubber latex.",100.00%,,,,100.0
95,95,95,VRG Japan Rubber Export Joint Stock Company,"269A Nguyen Trong Tuyet, Ward 10, Phu Nhuan District, Ho Chi Minh City",Wholesale of rubber.,50.00%,,,,50.0
